,validatation_mae,validation_mse,train_mae,train_mse
0,1.136791,0.67106485,1.2550045,0.73359066
1,1.0870489,0.6505137,1.121929,0.6607103
2,0.9499545,0.57961226,1.0330603,0.6187012
3,0.91628754,0.5642759,0.9505611,0.5768917
4,0.9099181,0.56227094,0.9582196,0.58080286
5,0.92144376,0.5657197,0.91750073,0.5609821
6,0.9538975,0.5822682,0.90976644,0.55783784
7,0.92114043,0.5673382,0.9068092,0.55619323
8,0.9123446,0.5623597,0.90407944,0.5545772
9,0.90203214,0.55744624,0.89740676,0.5516876
10,0.9138611,0.5641429,0.89369124,0.5492563
11,0.9144677,0.564039,0.89111316,0.54801315
12,0.903852,0.56217915,0.8904307,0.54848135
13,0.90354866,0.55795854,0.87973917,0.5438954
14,0.9011222,0.5572924,0.890734,0.54773
15,0.89141643,0.55363655,0.8807249,0.5436719
16,0.9105247,0.5642801,0.8755687,0.5406688
17,0.9111313,0.5632319,0.8681377,0.53606796
18,0.9047619,0.5590679,0.87056416,0.53844243
19,0.9123446,0.5631601,0.86836517,0.53636545
20,0.8938429,0.5543927,0.87321806,0.5395648
21,0.90263873,0.5568266,0.8637398,0.5353722
22,0.90718836,0.5589507,0.8530482,0.528731
23,0.9132545,0.56733644,0.84781617,0.526654
24,0.91082805,0.5638906,0.8521383,0.52869016
25,0.92690325,0.5714883,0.8652563,0.5349028
26,0.8989991,0.55818725,0.8543373,0.5306621
27,0.8974826,0.55627096,0.857977,0.5317354
28,0.91780406,0.567891,0.84622383,0.5258821
29,0.9111313,0.5714875,0.85229,0.52890354
30,0.89778584,0.55947244,0.8546406,0.5312403
31,0.9181074,0.5712412,0.84266,0.5241385
32,0.93327266,0.57794625,0.8429633,0.5246861
33,0.9244768,0.56912017,0.8332575,0.5192522
34,0.9153776,0.5673159,0.8331817,0.5194901
35,0.91416436,0.5694882,0.84076434,0.5230273
36,0.92690325,0.57614595,0.8227176,0.51254517
37,0.9259933,0.5692318,0.83143765,0.51860857
38,0.9265999,0.5744975,0.8319684,0.5181997
39,0.91780406,0.5686902,0.82393086,0.5143385
40,0.91204125,0.56921566,0.8257507,0.5144635
41,0.9202305,0.57403123,0.81733394,0.5095356
