reviewStar,purchase,imageCnt,helpfulCnt,mGNR,mUSE,mEMT,mECV,mPRQ,mTCT,mPCC,mCYS,mEOC
2,1,0,0,0.31845,0.0,0.0,0.0,0.2123,0.0,0.6369,0.2123,0.0
3,1,3,44,0.43425,0.0,0.2895,0.0,0.2895,0.0,0.43425,0.5790000000000001,0.8685
4,1,0,3,0.48975,0.0,0.3265,0.48975,0.3265,0.0,0.0,0.3265,0.0
3,1,0,3,0.22725,0.0,0.0,0.0,0.303,0.0,0.22725,0.0,0.0
3,1,0,0,0.0,0.0,0.2900666666666666,0.4351,0.2900666666666666,0.0,0.4351,0.2900666666666666,0.0
3,1,0,1,0.0,0.0,0.0,0.27115,0.1807666666666666,0.0,0.0,0.0,0.0
4,1,0,0,0.0,0.0,0.0,0.0,0.2365333333333333,0.0,0.0,0.0,0.0
5,1,0,125,0.499,0.0,0.3326666666666666,0.0,0.6653333333333333,0.3326666666666666,0.0,0.0,0.0
3,1,0,0,0.0,0.0,0.3276333333333333,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,2,0.0,0.0,0.0,0.0716,0.0477333333333333,0.0,0.0,0.0477333333333333,0.0
4,1,0,152,-0.41615,0.0,0.0,0.0,-0.2774333333333333,0.0,0.0,0.0,0.0
3,1,0,0,0.39195,0.0,0.2613,0.0,0.0,0.0,0.0,0.0,0.7839
3,1,0,0,0.47885,0.0,0.3192333333333333,0.47885,0.3192333333333333,0.0,0.0,0.0,0.0
5,1,1,93,0.49805,0.49805,0.6640666666666667,0.0,0.3320333333333333,0.3320333333333333,0.0,0.0,0.49805
1,1,0,1,0.4522,0.0,0.3014666666666666,0.0,0.6029333333333333,0.3014666666666666,0.4522,0.3014666666666666,0.0
5,1,0,0,0.0,0.0,0.2952666666666667,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,1,0.49645,0.0,0.0,0.49645,0.6619333333333334,0.0,0.0,0.0,0.49645
2,1,0,0,0.31845,0.0,0.0,0.0,0.2123,0.0,0.6369,0.2123,0.0
5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40735,0.0,0.40735
3,1,0,0,0.0,0.0,0.0,0.0,-0.2705,0.0,0.0,0.0,0.0
5,1,3,44,0.4993,0.0,0.3328666666666667,0.4993,0.3328666666666667,0.0,0.0,0.0,0.4993
5,1,0,22,0.4914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9828
3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1998,0.0
2,1,0,2,0.0,0.0,0.0,0.0,0.2736,0.0,0.0,0.0,0.4104
3,1,0,1,0.0,0.0,0.3253666666666666,0.0,0.3253666666666666,0.0,0.0,0.3253666666666666,0.48805
4,1,0,1,0.0,0.0,0.1985666666666666,0.29785,0.0,0.1985666666666666,0.0,0.0,0.0
4,1,0,21,0.46005,0.46005,0.3067,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,0,0.0,0.0,0.0,0.0,0.3036666666666667,0.0,0.0,0.3036666666666667,0.0
4,1,0,0,0.48365,0.0,0.3224333333333333,0.0,0.3224333333333333,0.0,0.0,0.0,0.0
4,1,2,3,0.0,0.0,0.0,0.0,-0.1858,0.0,-0.2787,0.0,0.0
3,1,0,0,0.0,0.0,0.3187666666666667,0.0,0.3187666666666667,0.0,0.47815,0.0,0.0
4,1,0,0,0.0,0.0,0.0,0.44225,0.0,0.0,0.44225,0.0,0.0
4,1,0,1,0.0,0.0,0.2997666666666667,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,0,-0.1706,0.0,0.0,0.0,-0.1137333333333333,0.0,0.0,0.0,0.0
