,validatation_mae,validation_mse,train_mae,train_mse
0,1.1464968,0.68175024,1.2273278,0.719553
1,1.0573249,0.62965447,1.1233697,0.66320115
2,0.9905975,0.5968209,1.0062937,0.6053078
3,0.9520776,0.57988596,0.933576,0.57049435
4,0.944495,0.57447934,0.9180316,0.5631144
5,0.9223536,0.5653272,0.9164392,0.5615283
6,0.93054295,0.5705266,0.9107522,0.5591888
7,0.92811644,0.5658242,0.903852,0.55495155
8,0.9387322,0.5729769,0.89657265,0.5516045
9,0.92144376,0.5646241,0.896876,0.55160844
10,0.933576,0.57134235,0.8989991,0.55288064
11,0.9457082,0.57733464,0.88315135,0.5452728
12,0.94297844,0.57467777,0.88580525,0.54630816
13,0.9235669,0.56583005,0.8783743,0.54237205
14,0.93600243,0.5695233,0.88087654,0.54372066
15,0.91780406,0.56154764,0.87117076,0.53906304
16,0.92750984,0.56794035,0.8730664,0.53986806
17,0.9090082,0.55772287,0.8721565,0.5396382
18,0.9308462,0.5694405,0.8715499,0.5391944
19,0.9344859,0.5720607,0.879815,0.5435424
20,0.93054295,0.57111937,0.86275405,0.5356843
21,0.95177436,0.5796129,0.86108583,0.534689
22,0.9356991,0.57453054,0.86032754,0.53379047
23,0.9181074,0.5638789,0.8581286,0.5326301
24,0.93266606,0.5724756,0.85395813,0.5299956
25,0.9384289,0.574539,0.85911435,0.5339197
26,0.9314528,0.5709188,0.8636639,0.53563213
27,0.9347892,0.5707812,0.8622232,0.5351601
28,0.90567183,0.5588691,0.8658629,0.5367
29,0.9196239,0.56650376,0.8472854,0.52695465
30,0.91841066,0.563723,0.8615408,0.53470683
31,0.93387926,0.5719103,0.84303916,0.5254894
32,0.9299363,0.5729987,0.8451623,0.52587837
33,0.93114954,0.57132614,0.84364575,0.525531
34,0.9235669,0.56668866,0.84910524,0.5272473
35,0.9272066,0.5680063,0.8425083,0.52418995
36,0.91264784,0.5614202,0.8303761,0.5189965
37,0.9265999,0.57460433,0.82817715,0.5166126
38,0.9344859,0.5708917,0.8333333,0.52015954
39,0.9090082,0.55819637,0.84303916,0.52342635
40,0.9387322,0.57424873,0.8281013,0.5161263
41,0.9344859,0.5714847,0.82878375,0.51768875
42,0.936609,0.5730289,0.82044286,0.5122335
43,0.9241735,0.57016814,0.8152108,0.5101411
44,0.93236274,0.5740026,0.81945705,0.51138073
45,0.94115865,0.5780379,0.8227176,0.5134874
46,0.9393388,0.57864,0.81323934,0.5080491
47,0.92811644,0.57374066,0.8052017,0.5042157
48,0.9496512,0.5819886,0.7973916,0.49985746
49,0.9329694,0.57883644,0.7954959,0.4991855
50,0.9347892,0.57645965,0.8008038,0.5029616
51,0.9181074,0.5630947,0.80831057,0.5051423
52,0.9414619,0.5804272,0.79276615,0.49642286
53,0.9393388,0.577372,0.7973157,0.49865368
54,0.9329694,0.5730289,0.8017895,0.50043476
55,0.9238702,0.57063293,0.78647256,0.4921079
56,0.9441917,0.5820611,0.7901122,0.49447566
57,0.92053384,0.570652,0.7931453,0.49459073
58,0.93539584,0.58100253,0.79215956,0.49278033
59,0.9399454,0.57984364,0.7865484,0.4917998
60,0.9302396,0.5774575,0.7788899,0.4856583
61,0.95935696,0.59568536,0.7675918,0.479742
62,0.94601154,0.58732665,0.7824538,0.4894764
63,0.9496512,0.59102553,0.7867,0.48933706
64,0.92811644,0.57153517,0.7739612,0.48267904
65,0.94601154,0.5864415,0.77214134,0.48078552
66,0.9793752,0.60543346,0.7696391,0.4782878
67,0.9426752,0.5875861,0.7777525,0.4832897
