validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.1461935,0.67284703,1.1593115,0.68162084,57.127693
1.1522596,0.6781885,1.1381559,0.669547,57.870792
1.159539,0.6818867,1.1480134,0.67415273,57.696392
1.0636942,0.63572073,1.0811343,0.6407737,59.32666
0.97725207,0.591979,1.0294207,0.61633015,60.38065
0.9590537,0.5832646,0.97899604,0.59152,61.548378
0.9420686,0.577671,0.9581438,0.58166325,61.965424
0.940552,0.57494205,0.95018196,0.57817364,62.09433
0.95086443,0.5813615,0.9441917,0.57432514,62.367302
0.92902637,0.569422,0.93471336,0.5695847,62.594784
0.92053384,0.56510115,0.927434,0.5661893,62.738853
0.90658176,0.5610328,0.915226,0.5605272,62.989082
0.9005156,0.5571111,0.9190173,0.5623368,62.89809
0.9041553,0.5582961,0.91856235,0.5621519,62.89809
0.90172887,0.5558686,0.9149985,0.56079274,62.920837
0.9047619,0.55912393,0.9116621,0.55885726,63.034576
0.9096148,0.5595529,0.9084774,0.55736667,63.110405
0.90779495,0.5609579,0.9109797,0.55752784,63.208977
0.90203214,0.55692595,0.9096148,0.557646,63.110405
0.91264784,0.56138784,0.9011222,0.55399877,63.231724
0.91628754,0.56246877,0.90832573,0.5571521,63.12557
0.9093115,0.56188315,0.89399457,0.5500406,63.47437
0.92750984,0.5688533,0.88944495,0.54813635,63.519867
0.9123446,0.56145585,0.8962693,0.5511913,63.413708
0.90658176,0.5588291,0.8944495,0.55145764,63.269638
0.9314528,0.56957126,0.8898241,0.54835945,63.512283
0.90840155,0.56021905,0.88739765,0.5474791,63.519867
0.918714,0.5646873,0.88808006,0.5474257,63.56536
0.91355777,0.56345236,0.87678194,0.5416651,63.868668
0.94813466,0.58045024,0.88254476,0.544713,63.694267
0.9080983,0.5589398,0.87534124,0.5407906,63.921745
0.92053384,0.5668179,0.88102823,0.54344463,63.800423
0.90658176,0.55925703,0.87534124,0.54104227,63.87625
0.8862602,0.5521184,0.8818623,0.5441674,63.73976
0.877161,0.5470588,0.8773127,0.54232466,63.777676
0.9090082,0.56134015,0.87056416,0.53900516,63.921745
0.9041553,0.55779105,0.87026083,0.5386128,63.967243
0.93630576,0.5724107,0.8821656,0.54563516,63.5047
0.9138611,0.56406534,0.87663025,0.5417903,63.823174
0.91082805,0.560116,0.8695784,0.5391109,63.868668
0.9426752,0.5784981,0.8698059,0.5370527,64.20231
0.8993024,0.5551146,0.8650288,0.5362955,64.05065
0.92144376,0.5659241,0.86252654,0.5346369,64.14922
0.9314528,0.5729707,0.8559296,0.5313763,64.32362
0.9196239,0.5680994,0.86260235,0.5344502,64.209885
0.91628754,0.5657229,0.8673036,0.53689086,64.06582
0.9080983,0.5628303,0.85888684,0.53396684,64.08856
0.9111313,0.56899744,0.8484228,0.5278567,64.46011
0.90354866,0.5584295,0.8567637,0.5324946,64.21747
0.94752806,0.5808077,0.8481953,0.527789,64.45253
0.9102214,0.5626759,0.85229,0.5303505,64.30088
0.9087049,0.5606695,0.8484228,0.5275942,64.50561
0.9253867,0.57269347,0.8586594,0.5331886,64.18714
0.90627843,0.56102455,0.84827113,0.52789,64.45253
0.92053384,0.56825113,0.8541098,0.5314832,64.194725
0.9202305,0.56660146,0.8454656,0.52586466,64.60419
0.9111313,0.5653412,0.84372157,0.52528197,64.60419
0.9150743,0.57286656,0.8432666,0.5247299,64.64968
0.90294206,0.5612531,0.848347,0.5271186,64.55111
0.9208371,0.57030064,0.8362147,0.5226685,64.60419
0.92690325,0.5739855,0.8390961,0.5217298,64.92265
0.9287231,0.572979,0.8389445,0.5235118,64.61177
0.9396421,0.57757974,0.83644223,0.5217274,64.75584
0.92326355,0.5686603,0.8276464,0.51647925,65.08948
0.92053384,0.56887513,0.83424324,0.5197202,64.945404
0.9196239,0.56997764,0.8332575,0.51927805,64.96057
0.92144376,0.5730812,0.82802546,0.51666176,65.081894
0.92144376,0.57148117,0.8205945,0.5139618,65.119804
0.9144677,0.56775033,0.81680316,0.5110718,65.354866
0.93751895,0.57856536,0.8362147,0.5209005,64.84683
0.91264784,0.5694205,0.8169548,0.5102554,65.468605
0.9241735,0.57076627,0.8262815,0.5149139,65.22596
0.9199272,0.5734884,0.8205187,0.5123475,65.316956
0.9223536,0.574908,0.8169548,0.5094824,65.5596
0.9402487,0.5824455,0.80671823,0.5054006,65.65817
0.9402487,0.5796981,0.81756145,0.5105545,65.44586
0.93266606,0.5777672,0.8017137,0.50267726,65.83257
0.9496512,0.5851483,0.81020623,0.5075304,65.52927
0.92569,0.57806844,0.7992114,0.50095904,65.953896
0.9235669,0.57292736,0.7988323,0.50113946,65.893234
0.9074917,0.56963414,0.7959509,0.4999625,65.93873
0.90354866,0.56523544,0.80611163,0.50432765,65.78708
0.9542008,0.5974198,0.79784656,0.5003387,65.96148
0.929633,0.5820686,0.79481345,0.4989111,65.97665
