,validatation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,1.092205,0.64875746,1.2676675,0.7537911,51.986656
1,1.0849257,0.6428563,1.1570367,0.67945814,57.317257
2,1.0909919,0.64618486,1.1564301,0.678637,57.415833
3,1.0849257,0.6428564,1.1581742,0.6797785,57.32484
4,1.0849257,0.6436255,1.1548377,0.6775254,57.491657
5,1.085229,0.64333737,1.1585532,0.6795987,57.37792
6,1.0831058,0.6428413,1.1585532,0.6794914,57.393085
7,1.0673339,0.6344669,1.1442978,0.6728263,57.681225
8,0.96360326,0.5855202,1.089172,0.6455407,58.993023
9,0.9278132,0.56903654,1.0257052,0.61427534,60.49439
10,0.9426752,0.57660663,1.0107673,0.6071235,60.828026
11,0.9080983,0.5578159,0.9888535,0.5969831,61.21474
12,0.9341826,0.5700387,0.9746739,0.5894347,61.631786
13,0.8980892,0.55252635,0.966788,0.5858876,61.768272
14,0.9199272,0.5632385,0.957158,0.581373,61.950256
15,0.93812555,0.57455784,0.97725207,0.5909221,61.540794
16,0.89080983,0.5488867,0.9920382,0.5987098,61.10858
17,0.9059751,0.55675864,0.95928115,0.58197933,61.973007
18,0.8786776,0.5435744,0.95526236,0.58101916,61.904762
19,1.0254776,0.615408,0.9779345,0.59148556,61.480133
20,0.8962693,0.55153525,1.0037913,0.60391223,60.9266
21,1.0900819,0.64665276,0.9928723,0.5987557,61.169243
22,1.0588413,0.6331815,1.1598423,0.6795194,57.446163
23,0.9272066,0.56809145,1.0326054,0.6183122,60.221413
24,0.9002123,0.5532151,0.9604944,0.5837436,61.78344
25,0.9138611,0.5626924,0.9695936,0.5876424,61.654533
26,0.88535035,0.5465634,0.9520776,0.57914424,62.04125
27,0.90567183,0.55643994,0.9400212,0.57218194,62.481045
28,0.882014,0.5492607,0.9490446,0.5774316,62.147408
29,0.88292384,0.5451892,0.9451016,0.5760482,62.170155
30,0.89869577,0.55298537,0.93531996,0.5711229,62.405216
31,0.94661814,0.5813063,0.9597361,0.58346605,61.78344
32,0.87685776,0.5449209,0.9598878,0.5829078,61.889595
33,0.8798908,0.54567575,0.94730055,0.57693815,62.139824
34,0.93205947,0.5728529,0.9281923,0.5675533,62.5872
35,0.88747346,0.54723775,0.9426752,0.5751679,62.170155
36,0.88231725,0.5452763,0.92114043,0.5635463,62.81468
37,0.8941462,0.5555974,0.9292539,0.5684745,62.481045
38,0.89657265,0.5520311,0.93804973,0.57284683,62.27631
39,0.95238096,0.58070624,0.92811644,0.5668454,62.685776
40,0.88110405,0.5438713,0.9493479,0.5775904,62.124657
41,0.9041553,0.5558551,0.92978466,0.569553,62.359722
42,0.8747346,0.5418209,0.9347892,0.5702185,62.49621
43,0.8808007,0.5470451,0.9251592,0.5658071,62.678192
44,0.8792842,0.5446112,0.92462844,0.5658061,62.67061
45,0.8883834,0.5475109,0.91128296,0.56004214,62.84501
46,0.86108583,0.537036,0.9131786,0.5603332,62.89809
47,0.86260235,0.535119,0.91226876,0.55950385,62.95875
48,0.86260235,0.5384933,0.91636336,0.5616833,62.84501
49,0.8856536,0.5473406,0.90802246,0.5576324,63.019413
50,0.88535035,0.54792583,0.91067636,0.5590696,62.95875
51,0.8695784,0.53888434,0.9096906,0.5589903,62.920837
52,0.87958753,0.54313904,0.91575676,0.5619711,62.776768
53,0.8750379,0.5431596,0.9109039,0.55962217,62.87534
54,0.86320895,0.53609586,0.8949803,0.5506046,63.428875
55,0.8622991,0.5341512,0.8920989,0.5490512,63.512283
56,0.8750379,0.54299706,0.8910373,0.54826367,63.58053
57,0.8641189,0.53696036,0.8912648,0.5483649,63.58811
