,validation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,1.2387018,0.7143738,1.5145587,0.8923539,44.009705
1,1.1234455,0.65820855,1.4243251,0.81362087,50.65969
2,1.1279951,0.66420877,1.1441462,0.67247796,57.734303
3,1.1234455,0.65820855,1.1599939,0.68269515,57.021534
4,1.1234455,0.65820855,1.1441462,0.6724781,57.734303
5,1.1519563,0.6741883,1.150819,0.6767987,57.423416
6,1.1237489,0.6587187,1.1433879,0.67201567,57.764633
7,1.1234455,0.65820855,1.1442978,0.67361015,57.57507
8,1.1495299,0.67100686,1.1453594,0.6730846,57.70397
9,1.121929,0.6582746,1.1454352,0.6736563,57.620564
10,1.1234455,0.6588292,1.1427054,0.67195475,57.741886
11,1.1231422,0.65811217,1.1458902,0.6735824,57.658478
12,1.1428572,0.6676184,1.1431605,0.67261314,57.66606
13,1.1234455,0.65820855,1.144222,0.6735671,57.58265
14,1.1352745,0.6641642,1.1441462,0.6729884,57.658478
15,1.126782,0.6627581,1.1440704,0.6730944,57.63573
16,1.1216257,0.65808934,1.1496816,0.6761086,57.476494
17,1.1234455,0.6592289,1.1417955,0.67219573,57.658478
18,1.0755233,0.63697505,1.1389141,0.6709825,57.70397
19,1.0479224,0.62153643,1.0843191,0.6450224,58.848953
20,1.0248711,0.60875446,1.0539126,0.62884873,59.72096
21,0.99332726,0.5980405,1.0231271,0.6150916,60.23658
22,0.9705793,0.5852347,0.98468304,0.5955269,61.229904
23,0.95298755,0.5768158,0.9661814,0.5857103,61.78344
24,0.9505611,0.5749526,0.9633,0.58492523,61.73794
25,0.9308462,0.56580037,0.96094936,0.58288157,61.935093
26,0.96663636,0.5806577,0.95867455,0.5837103,61.684864
27,0.936609,0.56802857,0.9808917,0.5933549,61.38914
28,0.92114043,0.5605782,0.9414619,0.5744342,62.20807
29,0.93630576,0.5668816,0.9301638,0.56898886,62.465878
30,0.9123446,0.55696136,0.9310737,0.5686553,62.564453
31,0.93751895,0.5673548,0.93236274,0.57012576,62.405216
32,0.93266606,0.5655342,0.93183196,0.5695539,62.458294
33,0.9287231,0.56453526,0.9345617,0.5707933,62.420383
34,0.9314528,0.56551903,0.927889,0.56821907,62.465878
35,0.906885,0.552492,0.933576,0.5702924,62.427963
36,0.906885,0.55271405,0.9172733,0.56331784,62.655445
37,0.90263873,0.5550825,0.92205036,0.56516105,62.609947
38,0.9102214,0.5594519,0.92811644,0.5675881,62.564453
39,0.9044586,0.55337936,0.9310737,0.5709407,62.21565
40,0.9241735,0.5611699,0.9270549,0.56718487,62.572037
41,0.94176525,0.5692493,0.92841977,0.567706,62.55687
42,0.95086443,0.57488644,0.94548076,0.57569444,62.223232
43,0.9278132,0.56313777,0.9371398,0.5717333,62.405216
44,0.9454049,0.5711873,0.93547165,0.57117414,62.397633
45,0.9299363,0.5632939,0.9314528,0.56910056,62.50379
46,0.92569,0.5628347,0.9322111,0.5694264,62.49621
47,0.93236274,0.56620693,0.92910224,0.56774545,62.5872
48,0.9341826,0.5661341,0.9286473,0.567268,62.640278
49,0.9235669,0.56131816,0.9188656,0.5629086,62.79193
50,0.929633,0.5640838,0.9236427,0.5648756,62.754017
51,0.9241735,0.561613,0.92614496,0.5665007,62.640278
52,0.90142554,0.5508801,0.9314528,0.569448,62.458294
53,0.93175614,0.5660595,0.91909313,0.56363547,62.693356
54,0.92629665,0.5627752,0.92038214,0.5630274,62.86776
55,0.9223536,0.5604592,0.9250834,0.5663893,62.5872
56,0.92114043,0.5594245,0.91515017,0.5614014,62.852592
57,0.92205036,0.5603346,0.92493176,0.5663002,62.5872
58,0.92478013,0.5623688,0.9144677,0.5610001,62.87534
59,0.90779495,0.55354935,0.9253109,0.56629527,62.625114
60,0.9202305,0.5585146,0.9179557,0.5623802,62.83743
61,0.9287231,0.56366336,0.91712165,0.56233376,62.784348
62,0.9138611,0.5561837,0.92197454,0.56469744,62.693356
63,0.9044586,0.5515744,0.9124962,0.5603855,62.860176
64,0.90840155,0.5534029,0.9131786,0.5602105,62.920837
65,0.9244768,0.5619758,0.9070367,0.5573452,63.026993
66,0.9223536,0.5599272,0.9068092,0.556756,63.12557
67,0.9293297,0.56391466,0.90976644,0.55833334,63.019413
68,0.9053685,0.5515678,0.9228086,0.5649616,62.693356
69,0.9250834,0.5620645,0.91128296,0.5590699,62.996662
70,0.9193206,0.56022316,0.91863817,0.5631948,62.746437
71,0.90779495,0.5532253,0.92000306,0.56334704,62.79193
72,0.899909,0.54945123,0.9172733,0.56210816,62.829845
73,0.92053384,0.56025237,0.90984225,0.55821383,63.057323
74,0.9190173,0.55839664,0.9235669,0.56577873,62.594784
75,0.9250834,0.56135607,0.91067636,0.5584925,63.057323
76,0.906885,0.55366087,0.92485595,0.5655223,62.716106
77,0.90840155,0.5535353,0.91264784,0.55992347,62.936
78,0.9099181,0.55409086,0.9294813,0.56812805,62.55687
79,0.9150743,0.5572929,0.9180316,0.5626261,62.799515
80,0.93114954,0.5646392,0.92326355,0.56514657,62.678192
81,0.9102214,0.5543931,0.9190173,0.5631827,62.754017
82,0.9105247,0.5550082,0.9137853,0.56045103,62.90567
83,0.90840155,0.55437905,0.9231119,0.5648326,62.723686
84,0.9190173,0.55978644,0.9173491,0.56225055,62.82226
85,0.91568094,0.55718875,0.91833484,0.5624449,62.84501
86,0.8993024,0.5500137,0.92182285,0.5647635,62.64786
87,0.9080983,0.55382425,0.9159084,0.56155676,62.84501
88,0.9253867,0.5624727,0.9229603,0.5652168,62.64786
89,0.91568094,0.55668736,0.92265695,0.56471384,62.716106
90,0.9193206,0.5586394,0.9131028,0.560223,62.920837
91,0.91780406,0.5592243,0.927889,0.5672827,62.594784
92,0.92265695,0.56105924,0.91424024,0.56051755,62.92842
93,0.91204125,0.5558142,0.9230361,0.5652668,62.655445
94,0.90567183,0.5512657,0.9124204,0.5599327,62.920837
95,0.9138611,0.55559224,0.9180316,0.56295496,62.746437
96,0.92265695,0.56088275,0.9209129,0.5643011,62.693356
97,0.91416436,0.55768514,0.9138611,0.5600204,62.9815
98,0.9196239,0.5584259,0.9162117,0.56188256,62.8071
99,0.9123446,0.55582094,0.918714,0.5627575,62.81468
100,0.9199272,0.55852205,0.91211706,0.5598293,62.913254
101,0.906885,0.5514434,0.922202,0.5643996,62.738853
102,0.91204125,0.55674595,0.91340613,0.5605599,62.87534
103,0.90263873,0.55077624,0.91082805,0.5589215,62.989082
104,0.9047619,0.55167085,0.91560507,0.56104654,62.913254
105,0.9308462,0.5653272,0.91340613,0.56023055,62.92842
106,0.91719747,0.5579818,0.91924477,0.56279284,62.83743
107,0.91750073,0.55701345,0.91355777,0.56030095,62.92842
108,0.9390355,0.5690642,0.924401,0.56546617,62.685776
109,0.9299363,0.5648907,0.9173491,0.5619328,62.87534
110,0.89869577,0.54868335,0.91863817,0.5625447,62.829845
111,0.92205036,0.5603777,0.91060054,0.5589303,62.96633
112,0.91659087,0.5583815,0.9166667,0.5620859,62.8071
113,0.90203214,0.5505391,0.91211706,0.5596338,62.943584
114,0.91780406,0.5587358,0.9158326,0.5616098,62.84501
115,0.9059751,0.5535201,0.9159842,0.5612778,62.89809
116,0.9153776,0.5565171,0.91841066,0.56281966,62.799515
117,0.91659087,0.5575236,0.91894144,0.5628519,62.82226
118,0.914771,0.55662096,0.9225053,0.5650875,62.655445
119,0.9196239,0.5583228,0.91719747,0.56198454,62.860176
120,0.9202305,0.55821896,0.91287535,0.56022865,62.89809
121,0.91355777,0.5557481,0.9118896,0.5600306,62.86776
122,0.92144376,0.561325,0.9159842,0.5617139,62.82226
123,0.9190173,0.558322,0.9072642,0.5573806,63.04216
124,0.91659087,0.5576262,0.9208371,0.5637038,62.769184
125,0.90506524,0.5516937,0.90999395,0.55890447,62.951168
126,0.91416436,0.55647296,0.91401273,0.5604014,62.936
127,0.91568094,0.55773824,0.9225053,0.5647322,62.708523
128,0.9105247,0.5544008,0.9166667,0.5617606,62.860176
129,0.91750073,0.5577965,0.92182285,0.56461567,62.70094
130,0.918714,0.5590391,0.91659087,0.5617809,62.852592
131,0.9080983,0.55345297,0.9178799,0.56238204,62.83743
