,validatation_mae,validation_mse,train_mae,train_mse
0,1.1322415,0.6659399,1.2857901,0.7484362
1,1.1343646,0.6666137,1.1475583,0.6752457
2,1.136791,0.66766447,1.1440704,0.6728012
3,1.1355778,0.6676485,1.1443737,0.6722688
4,0.99757355,0.60147333,1.0811343,0.6417448
5,0.9545041,0.5817791,0.97186834,0.5883482
6,0.9633,0.5857524,0.9425235,0.5736362
7,0.91719747,0.5626991,0.933576,0.5694561
8,0.95238096,0.5812821,0.91856235,0.56260866
9,0.9399454,0.57244384,0.9052927,0.5554831
10,0.914771,0.56126505,0.9105247,0.55822235
11,0.9153776,0.56196064,0.90794665,0.5578665
12,0.9347892,0.5714887,0.9393388,0.5729884
13,0.9102214,0.55899346,0.9070367,0.5573561
14,0.8980892,0.55409515,0.9040036,0.5554078
15,0.90263873,0.5554958,0.8898999,0.5490265
16,0.9105247,0.5613822,0.8935396,0.55036974
17,0.91264784,0.5607538,0.8884592,0.54723823
18,0.91689414,0.5625152,0.8822414,0.5449374
19,0.91628754,0.56753063,0.8786776,0.54357433
20,0.9265999,0.5677827,0.876327,0.54271036
21,0.9244768,0.56668025,0.873673,0.54029715
22,0.9341826,0.57015735,0.87678194,0.5423334
23,0.9314528,0.57009023,0.86760694,0.53714156
24,0.91143465,0.5617601,0.87033665,0.5383038
25,0.9344859,0.5719977,0.8652563,0.53703934
26,0.9144677,0.563994,0.85653627,0.5322995
27,0.929633,0.5702374,0.86252654,0.5349505
28,0.9235669,0.5703987,0.8561571,0.5309077
29,0.9117379,0.56419325,0.8523658,0.5297312
30,0.9235669,0.56776655,0.84971184,0.5281384
31,0.92750984,0.568929,0.8680619,0.5375187
32,0.9208371,0.5661764,0.8474371,0.52766514
33,0.90233546,0.55637443,0.8528966,0.5296778
34,0.9150743,0.5621901,0.8541098,0.5312271
35,0.92205036,0.5657475,0.84849864,0.52769876
36,0.9548074,0.5826427,0.84447986,0.52527416
37,0.90840155,0.5618207,0.8469063,0.5268497
38,0.9681529,0.5893305,0.84447986,0.52561736
39,0.92326355,0.5721841,0.8419017,0.5239615
40,0.9241735,0.5678553,0.8370488,0.52253646
41,0.90718836,0.560962,0.84053683,0.5236869
42,0.92205036,0.56730175,0.8383379,0.5221981
43,0.9044586,0.5599467,0.83644223,0.5205809
44,0.92690325,0.5718739,0.8341674,0.5206239
45,0.92478013,0.5696753,0.8368972,0.5216896
46,0.9190173,0.57039374,0.83310586,0.51987
47,0.91719747,0.5648907,0.8234001,0.5144771
48,0.90567183,0.5634965,0.82021534,0.51212156
49,0.92841977,0.56946844,0.8240825,0.51366967
50,0.9190173,0.56580824,0.8186988,0.51211363
51,0.9308462,0.57251686,0.82188356,0.514481
52,0.90718836,0.5624144,0.8130118,0.50940305
53,0.9265999,0.5720908,0.8164998,0.511253
54,0.90779495,0.5627804,0.811192,0.5063865
55,0.9229603,0.567754,0.8143009,0.5090725
56,0.94115865,0.57833225,0.8056567,0.50530356
57,0.9390355,0.578443,0.81020623,0.506203
58,0.9399454,0.5811864,0.80247194,0.5021712
59,0.9408553,0.58284825,0.81043375,0.5071847
60,0.9223536,0.5690557,0.80307853,0.5030289
61,0.9293297,0.5777767,0.79966635,0.50043917
62,0.9272066,0.57806593,0.79830146,0.5002162
63,0.9532909,0.5878009,0.8036852,0.5021121
64,0.9390355,0.5836064,0.7900364,0.49507698
65,0.9193206,0.5739224,0.8052775,0.5035785
66,0.90718836,0.5672956,0.79276615,0.49725595
67,0.91568094,0.57174647,0.7917046,0.4955621
68,0.9299363,0.5786325,0.78844404,0.49343392
69,0.9548074,0.58994997,0.7840461,0.49250776
70,0.9496512,0.5867047,0.77570516,0.4858217
71,0.93327266,0.57557994,0.7773734,0.48853618
72,0.9441917,0.5899446,0.7783591,0.48939657
73,0.91628754,0.57296073,0.7791932,0.48754823
74,0.9396421,0.58015853,0.77016985,0.4833266
75,0.94783133,0.5938946,0.7646345,0.47878972
76,0.92265695,0.5780446,0.76850164,0.48137045
77,0.95025784,0.58911675,0.7804064,0.48631388
78,0.94722474,0.59288996,0.7675918,0.48140404
79,0.94237185,0.58417183,0.7631938,0.47896573
80,0.9129512,0.5772825,0.7612982,0.47719625
81,0.9347892,0.58237725,0.7773734,0.48638803
82,0.91568094,0.57198715,0.757431,0.47579217
83,0.9451016,0.5884873,0.7717622,0.48112825
84,0.9454049,0.5866754,0.7586442,0.47348818
85,0.95147103,0.58611524,0.7493176,0.46846732
86,0.90779495,0.56484914,0.75462544,0.47172588
87,0.9278132,0.5775752,0.7456021,0.46657258
88,0.9526843,0.5905358,0.74120414,0.4645043
89,0.93691236,0.5880376,0.7419624,0.46362764
90,0.940552,0.5855822,0.7450713,0.46607068
91,0.94722474,0.59314203,0.75379133,0.47092527
92,0.936609,0.587441,0.7394601,0.46223474
93,0.93812555,0.58778226,0.7388535,0.46219382
94,0.9739157,0.60278326,0.72619045,0.4542733
95,0.9299363,0.57509565,0.74833184,0.46651223
96,0.92902637,0.5832119,0.73688203,0.4589877
97,0.9144677,0.57526773,0.735138,0.4584869
98,0.94237185,0.5901535,0.72990596,0.4551927
99,0.914771,0.5745201,0.7252806,0.45341542
100,0.94388837,0.59232026,0.737337,0.45809993
101,0.95025784,0.59852463,0.7230058,0.45159972
102,0.9390355,0.5886196,0.7245223,0.45057172
103,0.9447983,0.59133554,0.72270244,0.44813782
104,0.9387322,0.5883625,0.72869277,0.45327336
105,0.94297844,0.5902128,0.7336215,0.45766136
106,0.9426752,0.58968437,0.7217925,0.44798642
107,0.94176525,0.58899444,0.71299666,0.44297418
108,0.93175614,0.58530855,0.7181529,0.44718006
109,0.94692147,0.59370923,0.72141343,0.44856125
110,0.9302396,0.5891748,0.7239915,0.45198238
111,0.9426752,0.59175885,0.71034276,0.44168478
112,0.9447983,0.58958775,0.7026084,0.4358265
113,0.92811644,0.5787828,0.7154231,0.4429851
114,0.9505611,0.59436274,0.7097361,0.4414636
115,0.9299363,0.5828207,0.6991204,0.43412125
116,0.96633303,0.60413855,0.71231425,0.44086087
117,0.95147103,0.5979352,0.7040491,0.43526256
118,0.94115865,0.58995926,0.70018196,0.43358913
119,0.9426752,0.5919945,0.70147103,0.43504846
120,0.94752806,0.5942715,0.69889295,0.4313019
121,0.93751895,0.5900634,0.70215344,0.43340382
122,0.9399454,0.59524196,0.6963906,0.43118876
123,0.94297844,0.5941448,0.69889295,0.43175653
124,0.9372156,0.5879858,0.69457084,0.42920643
125,0.9499545,0.5991098,0.6999545,0.43001503
126,0.92690325,0.58386785,0.6910828,0.42541438
127,0.9441917,0.59502035,0.6906279,0.42424595
128,0.9350925,0.58467335,0.6884289,0.42425898
129,0.93387926,0.5894298,0.694495,0.4284822
130,0.94722474,0.59701866,0.69381255,0.42753807
131,0.9393388,0.59768146,0.683576,0.42044938
132,0.955414,0.6073934,0.67614496,0.4156487
133,0.94813466,0.5943445,0.6855475,0.42092237
134,0.9645132,0.6055628,0.677434,0.41639724
135,0.9542008,0.5989929,0.6822111,0.41758257
