validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.1046406,0.6541223,1.2443888,0.7366811,53.245373
1.0821959,0.64333534,1.142478,0.67239326,57.650894
0.9654231,0.58612704,1.0302547,0.61733806,60.23658
0.9557173,0.58146584,0.9882469,0.596883,61.18441
0.94176525,0.57483774,0.96436155,0.5851582,61.730362
0.9457082,0.5758818,0.9526084,0.57924557,62.0185
0.9314528,0.572811,0.96436155,0.58485174,61.768272
0.94328177,0.57463825,0.96178347,0.5840044,61.760693
0.92690325,0.5673582,0.9387322,0.572323,62.367302
0.9356991,0.5714937,0.9387322,0.5724816,62.33697
0.93266606,0.5697626,0.9385805,0.5727628,62.27631
0.9651198,0.58532095,0.9322111,0.5690716,62.511375
0.921747,0.56464356,0.9321353,0.56953204,62.458294
0.9493479,0.5787654,0.92622083,0.5669055,62.52654
0.9393388,0.5739202,0.92409766,0.56519645,62.678192
0.93236274,0.5711742,0.91780406,0.56269103,62.754017
0.93266606,0.57138985,0.9166667,0.56119066,62.89809
0.94661814,0.5768786,0.9216712,0.56447184,62.655445
0.9278132,0.56850505,0.909539,0.5584381,62.96633
0.933576,0.5711309,0.918714,0.56162643,62.95875
0.9253867,0.56675905,0.91287535,0.56042135,62.82226
0.9435851,0.57522315,0.9129512,0.5591804,63.019413
0.91659087,0.5614566,0.9096906,0.55860543,62.90567
0.94601154,0.5778113,0.9102214,0.5585888,62.95875
0.9396421,0.57342505,0.9174249,0.5622112,62.799515
0.9420686,0.5759395,0.91120714,0.5584245,63.019413
0.9435851,0.5795084,0.906885,0.55686176,63.049744
0.94692147,0.57864636,0.89937824,0.553216,63.21656
0.9408553,0.5739278,0.8954353,0.5512366,63.315136
0.9596603,0.58487713,0.8949803,0.5507558,63.353046
0.9399454,0.5752959,0.8864877,0.5467539,63.512283
0.94722474,0.57896584,0.8904307,0.5486117,63.428875
0.9329694,0.57249075,0.89460117,0.54968196,63.49712
0.9457082,0.5765473,0.88375795,0.54466,63.694267
0.94237185,0.5776639,0.8883076,0.5470282,63.56536
0.92265695,0.56874806,0.89285713,0.5490513,63.49712
0.92478013,0.5776649,0.8755687,0.54058814,63.883835
0.94752806,0.5778206,0.8827722,0.54419297,63.694267
0.94752806,0.5808344,0.87397635,0.5400609,63.883835
0.9563239,0.584541,0.87685776,0.54137415,63.81559
0.9457082,0.5779065,0.8783743,0.54318666,63.626022
0.95238096,0.58333796,0.8686685,0.5367656,64.08856
0.96239007,0.5902667,0.86540794,0.5346588,64.232635
0.93812555,0.57579845,0.8707158,0.53782046,64.0279
0.95025784,0.58183455,0.86032754,0.53273004,64.24022
0.9526843,0.5821169,0.8516834,0.52921146,64.36154
0.92902637,0.57165504,0.85706705,0.53042,64.46011
0.9569305,0.5898075,0.85547465,0.53018177,64.369125
0.95177436,0.57940245,0.85706705,0.5319989,64.18714
0.9341826,0.5772073,0.8608584,0.53292453,64.232635
0.9302396,0.5712114,0.84592056,0.523694,64.86199
0.9420686,0.581858,0.8600243,0.5317132,64.369125
0.91628754,0.5698202,0.84228086,0.52185315,64.945404
0.95025784,0.5821453,0.8561571,0.5295001,64.50561
0.95086443,0.5840387,0.8494844,0.52556056,64.74068
0.9390355,0.58010983,0.83773124,0.5200797,64.983315
0.94176525,0.5848692,0.8580528,0.52979386,64.53594
0.9526843,0.5866882,0.8418259,0.5200479,65.1653
0.94813466,0.58487386,0.83393997,0.51548237,65.453445
0.9569305,0.5845002,0.83864117,0.5191529,65.12739
0.95238096,0.5860308,0.833485,0.51616824,65.32454
0.9420686,0.5842539,0.83022445,0.5131026,65.63543
0.9223536,0.57184476,0.8318926,0.51567805,65.33212
0.9496512,0.58519197,0.82878375,0.51422465,65.392784
0.94722474,0.5842767,0.82741886,0.5108378,65.80983
0.9511677,0.585215,0.82734305,0.51124686,65.72642
0.94297844,0.58227795,0.82506824,0.5107928,65.66576
0.95086443,0.59066564,0.831286,0.5134765,65.61268
0.95086443,0.582902,0.819912,0.5054361,66.21171
0.9545041,0.5858438,0.81384593,0.5038124,66.15863
0.9602669,0.59178454,0.8199879,0.50696206,65.99939
0.9599636,0.590669,0.8148317,0.50336266,66.264786
0.9399454,0.5821907,0.8134668,0.50204176,66.416435
0.95875037,0.5918235,0.80626327,0.49789384,66.65908
0.96572644,0.59660584,0.8101304,0.49938694,66.61359
0.9551107,0.5923679,0.8098271,0.49776328,66.863815
0.9505611,0.5885437,0.80247194,0.49431354,67.00789
0.9687595,0.60019004,0.79269034,0.48927757,67.26569
0.95359415,0.5881317,0.80451924,0.49430132,67.10646
0.94722474,0.586584,0.8006521,0.49318942,67.06855
0.96845615,0.6002994,0.8130118,0.4986331,66.85623
0.9581438,0.59606665,0.8017137,0.49175748,67.33394
0.95602065,0.5942984,0.79913557,0.48974973,67.49317
0.9441917,0.586258,0.79625416,0.48931676,67.41735
0.93751895,0.5809044,0.79337275,0.4874081,67.55383
0.940552,0.58782846,0.7946618,0.48709968,67.659996
0.9699727,0.60153615,0.79276615,0.4867168,67.64483
0.95875037,0.5957714,0.781468,0.47922865,68.17561
0.98756444,0.6075441,0.7901122,0.4845503,67.81923
0.9526843,0.59430814,0.7837428,0.48087412,68.03912
0.94297844,0.5881357,0.77790415,0.47520664,68.59266
0.9557173,0.5950591,0.77009404,0.47216707,68.63057
0.9687595,0.6006471,0.7830604,0.47849494,68.33485
0.9420686,0.5857456,0.77092814,0.4724393,68.62299
0.9860479,0.6109672,0.7662269,0.46758333,69.12344
0.9393388,0.58582973,0.77593267,0.47367162,68.698814
0.9457082,0.5929365,0.7711556,0.47185382,68.71398
0.97270244,0.6027869,0.7580376,0.46311432,69.36609
0.95086443,0.59260756,0.76508945,0.46670842,69.184105
0.9584471,0.5955558,0.7682742,0.46809185,69.15378
0.9696694,0.6033174,0.7614498,0.4638934,69.41917
0.9654231,0.5979316,0.7565969,0.46060905,69.669395
0.9824082,0.6118274,0.7563694,0.46115384,69.58598
0.94237185,0.58988154,0.7604641,0.46426126,69.297844
0.9896876,0.6109997,0.762663,0.4647777,69.33576
0.9563239,0.59908646,0.74749774,0.45349962,70.268425
0.9584471,0.6015626,0.75128907,0.45631105,70.04853
0.9690628,0.6014685,0.74613285,0.45350012,70.1926
0.9611768,0.5971617,0.74127996,0.45006037,70.465576
0.95602065,0.59366465,0.7480285,0.4554072,70.00304
0.9660297,0.6048418,0.7458295,0.45257536,70.31392
0.96663636,0.6046656,0.74605703,0.45282862,70.291176
0.97725207,0.6049054,0.75181985,0.4552627,70.20018
0.9645132,0.6032986,0.73847437,0.446807,70.79921
0.9660297,0.5965418,0.73900515,0.44824052,70.617226
0.9824082,0.61366165,0.73415226,0.4455886,70.7613
0.9575372,0.6046885,0.7343039,0.44405726,70.98878
0.95875037,0.5966315,0.73528963,0.44546893,70.829544
0.9402487,0.5849364,0.7436306,0.44948584,70.64756
0.96663636,0.5983139,0.7359721,0.44480905,70.95087
0.96239007,0.6008924,0.7231574,0.43831834,71.29208
0.96845615,0.602019,0.7285411,0.44025537,71.26933
0.98119503,0.6121628,0.72907186,0.4391252,71.47407
0.9581438,0.59866905,0.7302093,0.4394124,71.466484
0.9866545,0.6129197,0.72785866,0.438833,71.42857
0.97755533,0.6094417,0.7147407,0.43204382,71.78496
0.9896876,0.6183935,0.72330904,0.43532592,71.739456
0.9548074,0.60433096,0.7209585,0.43356436,71.875946
0.96724296,0.603481,0.71701545,0.43268764,71.82287
0.9708826,0.60276943,0.71496814,0.43006366,72.088264
0.98119503,0.6131725,0.71860784,0.432793,71.89111
0.98331815,0.61614186,0.7088262,0.4264958,72.31574
0.9542008,0.5999041,0.72133756,0.43436134,71.777374
0.9739157,0.6038671,0.7098119,0.427626,72.17925
0.99181074,0.61818,0.71094936,0.4279093,72.21716
0.96148014,0.59714204,0.70162266,0.42305425,72.45223
0.9557173,0.59851116,0.7013194,0.42150378,72.67971
0.97634214,0.61313784,0.70784044,0.42517018,72.46739
0.9575372,0.60155475,0.70730966,0.42431337,72.56597
0.96572644,0.59908307,0.70639974,0.42433587,72.51289
0.94813466,0.59027725,0.7055657,0.42396083,72.52047
0.96269333,0.60256493,0.69464666,0.41850796,72.77828
0.99211407,0.6161306,0.71504396,0.4277344,72.45223
0.95359415,0.59743637,0.7007886,0.41929105,72.97543
0.97907186,0.6109873,0.7042008,0.42355326,72.51289
0.9542008,0.5947004,0.6959357,0.41645,73.15742
0.97270244,0.60515213,0.6936609,0.41520777,73.233246
0.9687595,0.60649014,0.69585985,0.4166888,73.12708
0.9690628,0.60695434,0.70147103,0.42047244,72.85411
0.9681529,0.6013309,0.70465577,0.42063913,72.97543
0.9723992,0.60946,0.6976039,0.41656867,73.21808
0.97907186,0.60771805,0.6955566,0.4143775,73.44556
0.9526843,0.5965246,0.690552,0.41297102,73.407646
0.9699727,0.6033837,0.69093114,0.41269258,73.460724
0.98847437,0.6180786,0.6913103,0.41425148,73.233246
0.97148925,0.60664916,0.69313014,0.41263986,73.559296
0.9836215,0.6102565,0.687064,0.40949148,73.733696
0.94722474,0.59893674,0.70162266,0.41841623,73.12708
0.9575372,0.59596395,0.68804973,0.41091755,73.56688
0.9745223,0.6105958,0.6810737,0.40647918,73.89293
0.96208674,0.60003966,0.67910224,0.40656793,73.75645
0.9708826,0.60104024,0.68486506,0.40857616,73.75645
0.9590537,0.60397637,0.6890355,0.4105753,73.66545
0.9796785,0.6114324,0.68395513,0.40940788,73.58205
0.95723385,0.5983258,0.67978466,0.40506026,74.02942
0.9993934,0.6255242,0.6841826,0.40870726,73.70337
0.9739157,0.60704345,0.6787989,0.40485835,73.99151
0.9708826,0.61217815,0.6784956,0.40358642,74.158325
0.98058844,0.6153894,0.6847892,0.40828863,73.79436
0.9848347,0.6242361,0.67493176,0.40173173,74.27965
0.98908097,0.6200798,0.6696239,0.40056628,74.181076
0.9878678,0.6180823,0.6787231,0.4041953,74.097664
0.970276,0.6133884,0.67409766,0.40147784,74.26448
0.97209585,0.6047976,0.6827419,0.40498072,74.17349
0.97573555,0.6128137,0.6844859,0.40715387,73.946014
0.9766454,0.61193454,0.6708371,0.3991352,74.43888
0.97907186,0.6128809,0.6727328,0.3994075,74.49954
0.99545044,0.62751025,0.6713679,0.39905164,74.49954
0.9690628,0.60765153,0.6709129,0.39827102,74.57537
1.010919,0.62866384,0.67462844,0.40029663,74.46163
0.9723992,0.60476035,0.67955714,0.40514317,73.99909
0.95298755,0.5965211,0.67910224,0.40413007,74.128
0.9936306,0.6218611,0.6715954,0.39969757,74.40097
0.9866545,0.61648244,0.6678799,0.3964698,74.70428
0.97361237,0.6154121,0.67258114,0.4000984,74.3858
0.9808917,0.6105921,0.6753867,0.4021782,74.2569
0.99393386,0.6222735,0.6696997,0.39715445,74.681526
1.0045496,0.623685,0.67121625,0.3994768,74.42372
0.9669396,0.6038445,0.66909313,0.39682975,74.69669
0.9696694,0.61026704,0.6675766,0.39516136,74.86351
0.9520776,0.5978717,0.6701547,0.396851,74.734604
0.9633,0.6054411,0.6582499,0.39055872,75.07583
0.98119503,0.61534613,0.66712165,0.39587018,74.76494
0.9687595,0.60477275,0.66424024,0.39281583,75.06066
0.98847437,0.6153884,0.6695481,0.3963595,74.77252
0.98695785,0.6174251,0.66348195,0.3937553,74.87868
0.98635125,0.620827,0.6610555,0.39197293,75.00758
0.9878678,0.6173598,0.6684865,0.39624786,74.74977
0.96663636,0.6059233,0.6646952,0.39336652,74.98483
0.9848347,0.61737394,0.6646193,0.39234382,75.14407
