validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.1088868,0.65047413,1.3454655,0.7842758,51.281467
1.1097968,0.65327746,1.1520321,0.678872,57.195934
1.1085836,0.65215194,1.1483924,0.67573553,57.46891
1.0779496,0.6385637,1.1365635,0.67118984,57.537155
0.9748256,0.5850468,1.0683197,0.63774776,59.106762
0.9548074,0.5752967,0.992569,0.59984916,60.972095
0.9493479,0.5738163,0.9723992,0.5913296,61.207157
0.93691236,0.5674327,0.9551107,0.581919,61.775856
0.94297844,0.5700359,0.9463148,0.57663435,62.109493
0.9235669,0.56006366,0.94585985,0.5771996,61.995754
0.93630576,0.5686891,0.93054295,0.56965786,62.35214
0.9435851,0.57238847,0.92902637,0.56916225,62.359722
0.9244768,0.56126916,0.9250834,0.5673644,62.435547
0.9265999,0.5638961,0.9413861,0.57603633,61.92751
0.9681529,0.58414197,0.93607825,0.5724751,62.20807
0.9265999,0.564443,0.9250076,0.56731075,62.427963
0.9451016,0.57178956,0.92690325,0.5685631,62.314224
0.9329694,0.5675271,0.91401273,0.56174177,62.693356
0.93327266,0.56361544,0.92000306,0.5653349,62.481045
0.9244768,0.56184477,0.9200789,0.56397986,62.678192
0.95147103,0.57673657,0.90976644,0.55986416,62.769184
0.95602065,0.5765235,0.913027,0.5614217,62.693356
0.933576,0.56616575,0.91408855,0.5613743,62.746437
0.9344859,0.5684088,0.909084,0.559758,62.754017
0.9660297,0.58239096,0.9007431,0.55507123,63.026993
0.92811644,0.5630157,0.9041553,0.55712163,62.87534
0.92478013,0.5635257,0.90771914,0.55843425,62.852592
0.93236274,0.56625646,0.8997573,0.5539082,63.133152
0.9393388,0.56911933,0.89111316,0.55034196,63.231724
0.93387926,0.56791806,0.8956627,0.55259866,63.117985
0.92114043,0.5592199,0.8933879,0.55113745,63.21656
0.933576,0.5701127,0.88861084,0.54795456,63.459206
0.93205947,0.56487215,0.8801941,0.5441359,63.61086
0.9341826,0.5680166,0.8856536,0.546747,63.489536
0.93387926,0.56877744,0.8835305,0.5447093,63.679104
0.9402487,0.57101953,0.8899757,0.54921967,63.315136
0.93539584,0.5670841,0.87822264,0.5436874,63.55778
0.94601154,0.57297814,0.88739765,0.54699934,63.52745
0.93630576,0.57393986,0.8735214,0.5390649,64.01274
0.921747,0.5612019,0.8804974,0.5438988,63.64119
0.94783133,0.5728479,0.86836517,0.53806543,63.90658
0.94601154,0.578096,0.8695026,0.53844064,63.883835
0.93539584,0.5712832,0.86419475,0.5344947,64.209885
0.9344859,0.57081866,0.85979676,0.532279,64.308464
0.9848347,0.5956767,0.8481195,0.52680814,64.53594
0.92265695,0.56319004,0.8835305,0.5454824,63.53503
0.9372156,0.57483315,0.86055505,0.53302646,64.232635
0.95875037,0.58435464,0.85850775,0.53091204,64.44495
0.94328177,0.5761822,0.85365486,0.53027993,64.26296
0.93691236,0.5738202,0.85539883,0.5299079,64.43737
0.9611768,0.5860437,0.8475887,0.525649,64.66485
0.93630576,0.5738366,0.86047924,0.5323179,64.31605
0.9441917,0.5758762,0.8589627,0.5309084,64.44495
0.9308462,0.56775683,0.86260235,0.53300613,64.33121
0.9793752,0.59187347,0.8410676,0.5208406,65.05156
0.94297844,0.574857,0.86032754,0.5319932,64.346375
0.93327266,0.5743675,0.8504701,0.5253896,64.83925
0.9557173,0.58394337,0.8438732,0.52224785,64.968155
0.93751895,0.5729787,0.8437974,0.5233378,64.808914
0.9654231,0.5889134,0.8424325,0.52114797,65.07431
0.9244768,0.56971616,0.83598727,0.51733303,65.294205
0.94297844,0.57510924,0.8276464,0.51222456,65.627846
0.96360326,0.5887214,0.8390961,0.5179486,65.37762
0.9451016,0.57710165,0.8362147,0.5171166,65.3397
0.96269333,0.5891099,0.8299211,0.5138566,65.50652
0.9408553,0.5783267,0.8263573,0.51208967,65.582344
0.9344859,0.57504874,0.829542,0.513225,65.5596
0.95723385,0.58698237,0.8319684,0.5137762,65.62026
0.93630576,0.57778597,0.8284046,0.5121465,65.68851
0.9199272,0.56864244,0.82226264,0.5079364,65.98423
0.9633,0.587457,0.8136184,0.50350434,66.21929
0.9687595,0.59312105,0.80679405,0.49970663,66.4316
0.9490446,0.5862599,0.82885957,0.5110339,65.85532
0.9241735,0.5694386,0.820367,0.5061378,66.14346
0.9532909,0.58975214,0.8036852,0.49657175,66.712166
0.9420686,0.5802937,0.8017137,0.4959069,66.712166
0.96633303,0.5931949,0.8134668,0.50067264,66.606
0.95723385,0.5856653,0.81081283,0.50049186,66.50743
0.97361237,0.5966402,0.8020928,0.49474996,66.90931
0.9493479,0.5828356,0.7951926,0.4926538,66.89415
0.9675462,0.5897055,0.79640585,0.49316958,66.84865
0.9557173,0.58601093,0.7971641,0.4930249,66.92448
0.95298755,0.5839307,0.79648167,0.49099305,67.151955
0.95875037,0.59526885,0.79648167,0.49165457,67.09129
0.9387322,0.58283174,0.7903397,0.48588628,67.62966
0.9414619,0.57861125,0.79564756,0.48910898,67.3946
0.9402487,0.5798658,0.7761601,0.47792497,68.084625
0.96572644,0.59544367,0.7806339,0.47987616,68.03912
0.96633303,0.593239,0.78222626,0.48228616,67.750984
0.96299666,0.59613216,0.7845011,0.48231125,67.87989
0.93691236,0.57670605,0.77570516,0.47779512,68.099785
0.9408553,0.58194995,0.77593267,0.47643238,68.3121
0.9563239,0.58824664,0.78639674,0.4834382,67.7889
0.97361237,0.5963623,0.7904155,0.48528218,67.71307
0.9745223,0.5961462,0.78366697,0.47989887,68.160446
0.9687595,0.5968654,0.7788899,0.4762612,68.45617
0.95025784,0.58577585,0.7751744,0.47546768,68.39551
0.96572644,0.59980977,0.7617531,0.46648204,69.0552
0.9711859,0.6009488,0.7747953,0.47462204,68.524414
0.9463148,0.5923627,0.7662269,0.46877274,68.94904
0.9866545,0.60514295,0.76592356,0.4671017,69.16894
0.95359415,0.592886,0.76235974,0.46665895,69.0552
0.9739157,0.59635645,0.7603124,0.4646787,69.25993
0.96269333,0.59825546,0.7547771,0.46169147,69.42675
0.96784955,0.6032469,0.7660752,0.46805543,69.04004
0.97421896,0.59976333,0.75386715,0.4601895,69.57841
0.9605702,0.5979663,0.759175,0.4636186,69.35092
0.9454049,0.5910433,0.73756444,0.45156974,70.04095
0.9723992,0.5977654,0.74666363,0.45525002,69.94995
0.97573555,0.60111725,0.7506066,0.45783988,69.76797
0.9845314,0.6148415,0.74249315,0.45201653,70.22293
0.9848347,0.5980855,0.7387018,0.45216015,70.00304
0.97361237,0.6013,0.7437064,0.45359942,70.04095
0.9705793,0.6010058,0.73491055,0.4460845,70.68547
0.9675462,0.5990962,0.7443888,0.45140073,70.404915
0.9872612,0.60594,0.735138,0.4476385,70.4959
0.9842281,0.6088851,0.7379436,0.44915676,70.42766
0.9687595,0.6009002,0.7288444,0.44272137,70.92053
0.9654231,0.6016327,0.7303609,0.44259927,71.01153
0.9642099,0.59700316,0.73756444,0.44660252,70.791626
0.9887777,0.6137429,0.727707,0.44077408,71.140434
0.99545044,0.6179753,0.72611463,0.44030994,71.13285
0.9860479,0.60882473,0.7345314,0.4436814,71.05702
0.98119503,0.6065007,0.72634214,0.44003505,71.178345
0.9545041,0.5924311,0.73202914,0.44170755,71.25417
0.9739157,0.6086043,0.73832273,0.44581205,70.9357
0.9705793,0.6053418,0.7139824,0.43375888,71.49682
