,validatation_mae,validation_mse,train_mae,train_mse
107,0.9241735,0.57683337,0.70602065,0.43531692
108,0.91689414,0.58257335,0.70101607,0.42982152
109,0.93054295,0.5875094,0.6993479,0.43008766
110,0.9181074,0.57683563,0.71072185,0.43620896
111,0.9344859,0.5843799,0.6985896,0.42969158
112,0.90718836,0.569542,0.7033667,0.43324727
113,0.94115865,0.5911718,0.6963148,0.42660278
114,0.93114954,0.5867833,0.69381255,0.42494437
115,0.94297844,0.5909811,0.6976797,0.42732173
116,0.929633,0.58824265,0.70359415,0.43023628
117,0.9344859,0.58784336,0.7061723,0.430155
118,0.95086443,0.599323,0.6929026,0.4249662
119,0.9153776,0.5781021,0.6844859,0.41738287
120,0.918714,0.5798226,0.68198365,0.41846085
121,0.9208371,0.5811907,0.6819078,0.41784528
122,0.9441917,0.5957388,0.6787231,0.41527086
123,0.9293297,0.59094775,0.681377,0.41533896
124,0.9308462,0.5905043,0.68403095,0.4161738
125,0.9138611,0.57622737,0.672202,0.41119137
126,0.92902637,0.5829024,0.67000306,0.4084567
127,0.9569305,0.60086226,0.6781923,0.41273144
128,0.9244768,0.5865925,0.6798605,0.41503534
129,0.9181074,0.58566695,0.67978466,0.41293448
130,0.9208371,0.5847563,0.66772825,0.40502414
131,0.94813466,0.59169465,0.6618138,0.40210462
132,0.9199272,0.5796608,0.66424024,0.40257886
133,0.929633,0.5894104,0.659084,0.39955306
134,0.9202305,0.57920873,0.6567334,0.3984235
135,0.94115865,0.60032886,0.66355777,0.40283597
136,0.9414619,0.5960905,0.6676524,0.405073
137,0.94601154,0.5973837,0.6609039,0.40017402
138,0.93600243,0.58953464,0.67068547,0.40686047
139,0.9356991,0.5922646,0.6570367,0.39843836
140,0.95086443,0.60073024,0.6632545,0.4007274
141,0.92144376,0.58205235,0.65354866,0.39696592
142,0.92841977,0.5877963,0.65635425,0.39827722
143,0.9287231,0.5901135,0.6545344,0.3968567
144,0.9557173,0.60124785,0.65081894,0.3944584
145,0.9244768,0.5859395,0.66355777,0.40265805
146,0.93175614,0.58276206,0.65347284,0.396139
147,0.9093115,0.5764262,0.65081894,0.39577895
148,0.93600243,0.5910879,0.6505156,0.39498287
149,0.93751895,0.5936373,0.6395966,0.38683146
150,0.9402487,0.59776205,0.64520776,0.3881782
151,0.92265695,0.58960944,0.6491507,0.3920423
152,0.9229603,0.58869475,0.6314073,0.3802285
153,0.91719747,0.5841363,0.6383076,0.38602626
154,0.9344859,0.58738416,0.6361086,0.38418677
155,0.9253867,0.5861709,0.6342887,0.3832583
156,0.918714,0.58069587,0.64778584,0.3889365
157,0.91568094,0.5793377,0.64020324,0.38574037
158,0.92144376,0.58574826,0.62890506,0.3788257
159,0.9287231,0.58820283,0.64300877,0.3869482
160,0.948438,0.60315543,0.6405065,0.3861512
161,0.9190173,0.5832351,0.64027905,0.3853204
162,0.93205947,0.58581835,0.6377768,0.38292986
163,0.91689414,0.57988155,0.63519865,0.38324392
164,0.94237185,0.59285605,0.6327722,0.3802484
165,0.9144677,0.5786988,0.6235972,0.37500393
166,0.9538975,0.6051249,0.6235214,0.3761383
167,0.9299363,0.59089553,0.63823175,0.38469294
168,0.9408553,0.5962497,0.6234456,0.37381825
169,0.9278132,0.58711505,0.625872,0.37624365
170,0.94874126,0.6004677,0.6363361,0.380557
171,0.9378223,0.59206414,0.62541705,0.3762438
172,0.96663636,0.61603993,0.61836517,0.3713926
173,0.9496512,0.59956115,0.63535035,0.38175684
174,0.9499545,0.6046707,0.62026083,0.37237552
175,0.94601154,0.5965708,0.62860173,0.37632826
176,0.91719747,0.58561593,0.6257962,0.3755214
177,0.95177436,0.59915066,0.62064,0.37260672
178,0.9356991,0.59162796,0.6079011,0.3635006
179,0.93266606,0.5872658,0.61472553,0.36780903
180,0.93327266,0.58843154,0.62200487,0.37284684
181,0.95359415,0.60461354,0.6214741,0.37411046
182,0.9238702,0.5841343,0.62048835,0.3706648
183,0.9384289,0.592984,0.624128,0.37290683
184,0.94722474,0.60324264,0.61851686,0.37154043
185,0.9402487,0.59335196,0.60342735,0.3597774
186,0.9372156,0.59395957,0.5925083,0.3522914
187,0.9384289,0.59400433,0.58287835,0.34602386
188,0.94297844,0.5968988,0.581286,0.34456122
189,0.9648165,0.60884005,0.58022445,0.34473097
190,0.940552,0.5963915,0.5705945,0.33793506
191,0.95086443,0.60549253,0.5798453,0.34276906
192,0.9347892,0.5950366,0.569912,0.33762264
193,0.9538975,0.60561085,0.5648317,0.33368543
194,0.92569,0.5889725,0.57104945,0.33764276
195,0.95177436,0.60273415,0.5678647,0.33519027
196,0.94328177,0.60011244,0.56589323,0.33468747
197,0.9414619,0.5982195,0.5671065,0.33489054
198,0.9350925,0.59482396,0.56475586,0.33282477
199,0.9241735,0.5876033,0.56323934,0.3322591
