,validatation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,1.1719745,0.6890287,1.2061722,0.70433176,55.95238
1,1.0545951,0.6313318,1.0387473,0.6212923,60.092506
2,0.98271155,0.60275185,0.9880194,0.5977235,61.07067
3,0.9590537,0.5816686,0.9201547,0.56321794,62.799515
4,0.9860479,0.5951549,0.9131786,0.55981106,62.973915
5,0.9563239,0.58151275,0.9025629,0.5549134,63.163483
6,0.9390355,0.5723615,0.8989233,0.5531453,63.24689
7,0.93114954,0.5687219,0.89778584,0.55212975,63.337883
8,0.94601154,0.57701516,0.8983925,0.55318713,63.201393
9,0.94752806,0.57600224,0.8935396,0.5500257,63.428875
10,0.94601154,0.57677776,0.8924022,0.55022293,63.337883
11,0.94297844,0.5751659,0.88739765,0.5475667,63.49712
12,0.9681529,0.58813363,0.8895966,0.54760695,63.61086
13,0.9299363,0.569683,0.8801183,0.54443383,63.59569
14,0.95147103,0.5809202,0.882014,0.54512405,63.55778
15,0.9584471,0.5840205,0.87943584,0.54315984,63.75493
16,0.91659087,0.56133866,0.86973006,0.53814816,64.00516
17,0.9402487,0.5750815,0.88171065,0.5445992,63.648773
18,0.9344859,0.5730059,0.87321806,0.5402639,63.868668
19,0.9250834,0.5664579,0.8692751,0.53806245,64.01274
20,0.933576,0.57074964,0.8744313,0.5406336,63.868668
21,0.9329694,0.56870735,0.8655596,0.53628236,64.06582
22,0.9265999,0.56670284,0.8638156,0.53588104,64.06582
23,0.9244768,0.565053,0.86821353,0.53801525,63.944496
24,0.955414,0.583339,0.85994846,0.5331977,64.25539
25,0.9350925,0.57461697,0.8564604,0.53223866,64.21747
26,0.9341826,0.57422596,0.8602517,0.53399265,64.14165
27,0.9602669,0.5843302,0.8519108,0.5293909,64.41462
28,0.94813466,0.57760006,0.85365486,0.52986693,64.4222
29,0.94783133,0.57929325,0.84827113,0.5270574,64.5966
30,0.94237185,0.5791742,0.84425235,0.5255317,64.58902
31,0.94813466,0.5810308,0.84637547,0.5260745,64.634514
32,0.92144376,0.568143,0.8459964,0.52697486,64.46011
33,0.9387322,0.5747806,0.83856535,0.5220341,64.808914
34,0.9199272,0.5676193,0.83712465,0.5216106,64.82408
35,0.95602065,0.58444923,0.8481195,0.5274674,64.49803
36,0.94874126,0.583457,0.8242341,0.51430905,65.24113
37,0.9199272,0.5689808,0.831741,0.5188232,64.968155
38,0.95086443,0.5885837,0.8368214,0.5217251,64.76342
39,0.9545041,0.5860219,0.8446315,0.52608395,64.51319
40,0.9347892,0.575469,0.83136183,0.5187914,64.93782
41,0.9426752,0.5837528,0.82939035,0.5180768,64.945404
42,0.9253867,0.5694521,0.819912,0.5135147,65.15772
43,0.95359415,0.58766073,0.81513494,0.5104616,65.37003
