,validation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,1.1492265,0.67684275,1.2236882,0.7127277,55.702152
1,1.1489233,0.67671716,1.1443737,0.67364407,57.57507
2,1.14862,0.67641395,1.1400516,0.66995907,57.89354
3,1.1182894,0.6625516,1.1331513,0.66660637,58.052776
4,1.014862,0.61503476,1.0261601,0.61416,60.532303
5,0.9708826,0.5892962,0.9548832,0.57987815,62.064
6,0.9699727,0.5908995,0.9208371,0.5626472,62.936
7,0.9799818,0.59465194,0.90855324,0.55705327,63.148315
8,0.9505611,0.5800848,0.90734,0.5560985,63.208977
9,0.9490446,0.5796341,0.9040036,0.5546153,63.269638
10,0.9384289,0.5735605,0.9066576,0.55622685,63.171066
11,0.9605702,0.58559704,0.88656354,0.54596376,63.694267
12,0.94692147,0.5801293,0.9007431,0.5538777,63.208977
13,0.97421896,0.59059185,0.9015772,0.55343205,63.337883
14,0.95359415,0.58368105,0.89945406,0.55264026,63.345467
15,0.94176525,0.5755654,0.8947528,0.550447,63.43646
16,0.9447983,0.5771189,0.8819381,0.54339504,63.861084
17,0.96178347,0.58497435,0.87769186,0.54235125,63.78526
18,0.94601154,0.5771924,0.8827722,0.54486877,63.656353
19,0.9293297,0.5692103,0.8798908,0.5440847,63.626022
20,0.9372156,0.57363325,0.87943584,0.543733,63.656353
21,0.94328177,0.57677126,0.86047924,0.5340577,64.14165
22,0.94388837,0.5768164,0.86609036,0.536786,64.035484
23,0.94115865,0.5761125,0.86882013,0.5373898,64.080986
24,0.9420686,0.57527727,0.8616166,0.5349023,64.080986
25,0.9499545,0.5794045,0.85979676,0.5340322,64.11131
26,0.9396421,0.5747736,0.8510767,0.52882576,64.482864
27,0.9545041,0.5815729,0.8515317,0.5296407,64.369125
28,0.9463148,0.5783242,0.85774946,0.5328483,64.171974
29,0.9265999,0.56898034,0.8474371,0.5270474,64.52836
30,0.94328177,0.5766822,0.8487261,0.5287685,64.32362
31,0.94752806,0.57820517,0.8453139,0.5272137,64.39187
32,0.9408553,0.5771576,0.8433424,0.525808,64.49803
33,0.94813466,0.57928634,0.8409918,0.5237274,64.717926
34,0.9454049,0.57717735,0.8425083,0.5253664,64.52836
35,0.94783133,0.58126104,0.840461,0.52423966,64.5966
36,0.94297844,0.578879,0.8440249,0.52657187,64.4222
37,0.94692147,0.5823474,0.83795875,0.5231907,64.61177
38,0.94115865,0.5774143,0.8396269,0.5240158,64.57385
39,0.93266606,0.57093483,0.8396269,0.5239905,64.58902
40,0.93600243,0.5772596,0.8337883,0.52128905,64.68759
41,0.93539584,0.5748483,0.82734305,0.5178168,64.87716
42,0.933576,0.57577777,0.8338641,0.5212648,64.67243
43,0.9454049,0.5818528,0.82939035,0.5191275,64.793755
44,0.9490446,0.5818092,0.83575976,0.5218394,64.70276
45,0.9496512,0.58151233,0.82711554,0.5172492,64.93782
46,0.94752806,0.5840327,0.8350015,0.5217573,64.680016
47,0.93114954,0.5768902,0.8376554,0.5227504,64.66485
48,0.94692147,0.58141696,0.82514405,0.51653105,64.95299
49,0.9426752,0.5787521,0.8150591,0.51156104,65.180466
50,0.96269333,0.5900544,0.8150591,0.5107774,65.28662
51,0.9420686,0.57943225,0.82446164,0.51675767,64.89991
52,0.9447983,0.57954407,0.81733394,0.5121356,65.17288
53,0.95875037,0.5879489,0.81589323,0.51183736,65.15772
54,0.9314528,0.57581586,0.80482256,0.50598174,65.48377
55,0.9420686,0.5794616,0.80618745,0.5056933,65.59751
56,0.9356991,0.57611006,0.8017895,0.5047657,65.491356
57,0.9669396,0.59916854,0.8030027,0.50474674,65.5596
58,0.95875037,0.59053564,0.810737,0.50905627,65.27146
59,0.96178347,0.5937461,0.8060358,0.50720257,65.354866
60,0.9350925,0.576643,0.80133456,0.5046461,65.49894
61,0.97330904,0.59751993,0.80740064,0.50649637,65.51411
62,0.9945405,0.60228646,0.7930695,0.49942544,65.87807
63,0.9463148,0.5888835,0.8042918,0.50479996,65.62026
64,0.95086443,0.58961684,0.7999697,0.5013075,65.93873
65,0.9581438,0.591811,0.7866242,0.4955185,66.09797
66,0.98695785,0.6042878,0.7957992,0.502067,65.5596
67,0.9520776,0.58940715,0.7966333,0.5010671,65.76433
68,0.95602065,0.5885899,0.7877616,0.496548,65.99181
69,0.94237185,0.5848974,0.7885957,0.49579534,66.15863
70,0.9648165,0.59500474,0.78586596,0.49399453,66.27237
71,0.9669396,0.59314924,0.7824538,0.49240625,66.33303
72,0.96239007,0.59470934,0.7823021,0.4917886,66.416435
73,0.9399454,0.57974744,0.7824538,0.493416,66.15863
74,0.9696694,0.598599,0.7737337,0.48553997,66.90931
75,0.95086443,0.58626115,0.77509856,0.4886013,66.515015
76,0.96208674,0.5938423,0.78070974,0.49002573,66.59084
77,0.9505611,0.59351367,0.7651653,0.4818502,67.00789
78,0.9584471,0.5954994,0.76038826,0.47868556,67.23537
79,0.9532909,0.5877709,0.7682742,0.48416784,66.803154
80,0.9648165,0.59839624,0.7685775,0.48308668,66.99272
81,0.9651198,0.5989803,0.7565211,0.47646543,67.349106
82,0.9675462,0.5947305,0.7628147,0.4793451,67.27328
83,0.97270244,0.60324734,0.75591445,0.47622108,67.35669
84,0.9642099,0.59855783,0.7549287,0.4748144,67.53109
85,0.9690628,0.6000189,0.7605399,0.47678605,67.485596
86,0.9642099,0.59425217,0.7548529,0.47514105,67.47801
87,0.9538975,0.59338874,0.75947833,0.47600514,67.54626
88,0.9584471,0.59955436,0.7419624,0.46520022,68.274185
89,0.9426752,0.5904831,0.75386715,0.47248715,67.78132
90,0.93630576,0.59010506,0.74977255,0.47036058,67.9178
91,0.9596603,0.60654616,0.7420382,0.4651,68.30452
92,0.9557173,0.604887,0.7382469,0.46379083,68.31969
93,0.95238096,0.5981483,0.74605703,0.46716297,68.198364
94,0.96239007,0.6030818,0.7400667,0.46236843,68.59266
95,0.9639066,0.5990524,0.7385502,0.46185392,68.59266
96,0.9818016,0.6168201,0.727707,0.45630756,68.873215
97,0.95238096,0.59682745,0.735138,0.45991856,68.698814
98,0.9693661,0.6029413,0.7321808,0.45756042,68.90355
99,0.9581438,0.59865975,0.7322566,0.45680434,69.009705
100,0.96663636,0.597124,0.7173188,0.4476623,69.63907
101,0.9830149,0.61095893,0.72133756,0.45140314,69.25993
102,0.98149836,0.6153998,0.720276,0.45073736,69.32818
103,0.9854413,0.61397284,0.72565967,0.45362824,69.16136
104,0.96269333,0.5992892,0.72292995,0.45056263,69.457085
105,0.96784955,0.61149937,0.72361237,0.4507789,69.472244
106,0.96178347,0.6064879,0.705414,0.44222656,69.83621
107,0.94752806,0.5952318,0.7091295,0.44217354,70.018196
108,0.9760388,0.61416924,0.7104186,0.4432324,69.92721
109,0.9687595,0.6035502,0.7196694,0.44740847,69.77555
110,0.97694874,0.6074363,0.7126175,0.44288647,70.07127
111,0.97634214,0.61118907,0.7026843,0.4359093,70.617226
112,0.99605703,0.6212877,0.71557474,0.44308835,70.20776
113,0.98847437,0.61508477,0.7054898,0.4388449,70.3215
114,0.97573555,0.6128589,0.6935851,0.42938918,71.11768
115,0.9639066,0.5986529,0.70238096,0.43446398,70.82196
116,0.98756444,0.61730593,0.70359415,0.43460512,70.8447
117,0.9745223,0.60786176,0.6885805,0.42554113,71.466484
118,0.944495,0.5875552,0.6921444,0.42774153,71.29967
119,0.97725207,0.6158445,0.686609,0.42337906,71.640884
120,0.9681529,0.60643667,0.69009703,0.42760968,71.216255
121,0.96299666,0.6056577,0.69123447,0.4265467,71.43616
122,0.96360326,0.60341024,0.6765241,0.41673762,72.148926
123,0.96299666,0.5972392,0.69115865,0.42691836,71.36033
124,0.9887777,0.6123208,0.6819078,0.4201611,71.913864
125,0.9787686,0.62041026,0.68751895,0.42404425,71.61056
126,0.9899909,0.62452525,0.67258114,0.41377085,72.40673
127,0.97785866,0.6115854,0.67349106,0.41522038,72.20959
128,0.9836215,0.6182797,0.6653018,0.40858236,72.785866
129,1.0021231,0.6262616,0.6738702,0.4139798,72.4219
130,0.9787686,0.6124317,0.668714,0.41272599,72.34607
131,1.0006067,0.62842834,0.6730361,0.4138375,72.414314
132,0.9730058,0.60740954,0.66204125,0.40666738,72.92994
133,0.9648165,0.60898644,0.6681832,0.4095292,72.77828
134,0.95147103,0.6007866,0.6636336,0.40673947,72.9906
135,0.9705793,0.6128983,0.6602214,0.4037165,73.25599
136,0.9984835,0.6292476,0.6603731,0.4038719,73.248405
137,0.9842281,0.61736184,0.66863817,0.40899253,72.876854
138,0.97209585,0.6131724,0.66279954,0.40500304,73.210495
139,0.99393386,0.6233921,0.6602214,0.40265542,73.422806
140,0.97209585,0.6142808,0.65862906,0.4025744,73.36973
141,0.97846526,0.615887,0.6507431,0.39785877,73.65029
142,0.9681529,0.61289835,0.6433121,0.39271098,74.044586
143,0.9739157,0.6156488,0.65028816,0.39775962,73.64271
144,0.9978769,0.62285703,0.6474826,0.39431474,74.006676
145,0.9723992,0.611077,0.65150136,0.3959582,74.006676
146,0.98331815,0.6214651,0.64717925,0.3929162,74.2114
147,0.99545044,0.6261126,0.64027905,0.38915637,74.41614
148,0.9590537,0.6028511,0.65658176,0.4004129,73.58205
149,0.9787686,0.61934114,0.64080983,0.39083692,74.20382
150,0.97907186,0.6123367,0.6369427,0.3875247,74.507126
151,0.97361237,0.6118905,0.6405823,0.38817295,74.59054
152,0.9766454,0.61285686,0.6376251,0.38793793,74.4768
153,0.98271155,0.61665803,0.6489233,0.3940014,74.128
154,0.97907186,0.6138036,0.63724595,0.3860944,74.71186
155,0.9793752,0.61311126,0.62769186,0.3806711,75.06066
156,0.9942372,0.6286872,0.63375795,0.3837486,74.90143
157,0.9984835,0.62790287,0.63868666,0.38643548,74.757355
158,0.9857446,0.62009,0.627616,0.38095424,75.0
159,0.9818016,0.61486363,0.63580525,0.3836695,75.01517
160,1.0139521,0.6335917,0.6333788,0.38287395,75.0
161,1.0048529,0.63137007,0.61609036,0.3738158,75.47771
162,1.006976,0.637771,0.6304974,0.38041458,75.21231
163,1.0172884,0.64327574,0.6264028,0.37908995,75.219894
164,0.9799818,0.617938,0.61882013,0.3736391,75.6142
165,0.9972702,0.6300643,0.6287534,0.37814897,75.46254
166,0.9860479,0.6205846,0.62117076,0.375072,75.553535
167,0.98756444,0.6186873,0.6234456,0.37527564,75.63694
168,0.98331815,0.6252665,0.6232939,0.3757891,75.56112
169,0.9896876,0.6256885,0.62314224,0.37607378,75.50046
170,0.99696696,0.6279844,0.61275405,0.37029046,75.841675
171,1.0087959,0.63608325,0.62625116,0.37619856,75.63694
172,0.99666363,0.626914,0.6158629,0.3700191,76.03124
173,0.98847437,0.6258208,0.6060813,0.36544105,76.23597
174,0.97573555,0.61764234,0.6115408,0.36873055,76.00849
175,0.97846526,0.61938137,0.6150288,0.37046838,75.92508
176,1.0045496,0.62819606,0.6213224,0.37352192,75.7886
177,1.0090991,0.62607414,0.62192905,0.3730925,75.879585
178,1.0248711,0.64404756,0.6180619,0.37329066,75.65969
179,0.99302393,0.62448275,0.59015775,0.35400164,77.100395
180,1.0027298,0.629055,0.58644223,0.35078612,77.38095
181,0.9787686,0.61398476,0.5846982,0.34755516,77.77525
182,0.9957537,0.6274078,0.5796937,0.3451731,77.88899
183,0.985138,0.6216707,0.57446164,0.33990085,78.397026
184,0.9878678,0.62469816,0.57870793,0.3431224,78.124054
185,0.98271155,0.6181228,0.5692296,0.33799028,78.41219
186,0.99241734,0.6252693,0.56513494,0.3341588,78.760994
187,0.9824082,0.622346,0.56172276,0.33303243,78.76858
188,0.98847437,0.6233693,0.5614195,0.33237,78.85199
189,0.9996967,0.62883353,0.56308764,0.33319178,78.798904
190,0.9723992,0.6123549,0.55686986,0.32964364,79.02639
191,0.9902942,0.62449276,0.5671065,0.336004,78.59418
192,0.9872612,0.62236005,0.55535334,0.3284131,79.12496
193,0.99696696,0.62629867,0.55846226,0.33001217,79.04913
194,0.9936306,0.6273253,0.55762815,0.3303106,78.958145
195,0.9936306,0.6280202,0.55755234,0.3296721,79.04155
196,0.9996967,0.6331684,0.55254775,0.3269976,79.20079
197,0.97785866,0.6172493,0.557704,0.3292735,79.109795
198,0.98756444,0.62683463,0.55740064,0.32950953,79.071884
199,0.99666363,0.62907153,0.5517895,0.3257361,79.36002
200,0.99241734,0.62881786,0.55118287,0.3252894,79.37519
201,0.9848347,0.62490404,0.5534577,0.32660195,79.306946
202,0.99757355,0.62908006,0.5514862,0.3254703,79.36002
203,0.9905975,0.6264954,0.5528511,0.32541856,79.443436
204,0.99120414,0.62580216,0.5500455,0.32459962,79.420685
205,0.9963603,0.62807477,0.54701245,0.32228717,79.62542
206,1.0,0.6304376,0.54693663,0.32247436,79.57992
