validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.1722778,0.68874097,1.2550045,0.7458827,52.449196
1.162572,0.6801285,1.1499848,0.688238,55.679405
1.1643919,0.68382776,1.1371702,0.6694228,57.84046
1.1437671,0.66855943,1.122384,0.6626747,58.105854
1.0169852,0.6082207,1.0296482,0.61686444,60.312405
0.9948438,0.60190934,0.95799214,0.5823249,61.889595
0.9711859,0.58631384,0.9476797,0.5768729,62.170155
0.96724296,0.5866325,0.91636336,0.56164587,62.860176
0.94874126,0.57582295,0.9215196,0.56456774,62.693356
0.9387322,0.5714357,0.9048377,0.55721414,62.936
0.96178347,0.5814535,0.90627843,0.5571606,63.034576
0.94692147,0.57607424,0.9058993,0.5570409,63.034576
0.95298755,0.57776177,0.90430695,0.5556301,63.1559
0.94692147,0.5749348,0.89149225,0.54966855,63.406128
0.9396421,0.5722448,0.8989233,0.55386937,63.148315
0.9493479,0.57782024,0.91060054,0.5588345,62.996662
0.93751895,0.56994194,0.88451624,0.5464801,63.53503
0.93114954,0.5693279,0.8932363,0.5501511,63.413708
0.9454049,0.5764818,0.88383377,0.5456308,63.626022
0.9490446,0.5764967,0.89884746,0.55356103,63.178646
0.93630576,0.5702668,0.8801183,0.54397196,63.679104
0.9414619,0.57705337,0.8840613,0.54574347,63.618443
0.92326355,0.56823283,0.88322717,0.5454719,63.61086
0.94783133,0.57591856,0.88315135,0.54599434,63.52745
0.9396421,0.573648,0.87943584,0.5435892,63.709435
0.94328177,0.5815796,0.8650288,0.53637266,64.05065
0.94601154,0.5774131,0.87625116,0.54164726,63.838337
0.93114954,0.5688092,0.864953,0.53689194,63.982407
0.93236274,0.57150304,0.86897177,0.5380036,64.01274
0.929633,0.5683734,0.86464965,0.53708893,63.914165
0.9402487,0.57352984,0.8678344,0.53774726,63.982407
0.94328177,0.5741503,0.86692446,0.5376724,63.967243
0.95662725,0.58142865,0.86101,0.5349353,64.04307
0.9463148,0.57478744,0.86123747,0.5344228,64.14922
0.92053384,0.5653395,0.8604034,0.5335703,64.24022
0.9441917,0.5763765,0.8560813,0.5328986,64.12648
0.95602065,0.5822148,0.8506976,0.5293607,64.37671
0.9259933,0.57067966,0.855323,0.5318925,64.22505
0.9414619,0.57555425,0.8566121,0.5327858,64.16439
0.9393388,0.57282686,0.8487261,0.52819544,64.44495
0.9272066,0.56758934,0.8447073,0.526559,64.47528
0.9390355,0.57268685,0.853124,0.5307772,64.28571
0.9223536,0.5659621,0.8481953,0.5275021,64.520775
0.9390355,0.57463896,0.84053683,0.52489233,64.50561
0.92265695,0.5670055,0.8432666,0.5258724,64.520775
0.94176525,0.5752079,0.8418259,0.52459884,64.634514
0.94752806,0.5804385,0.83735216,0.5228429,64.64968
0.9538975,0.5785527,0.831286,0.519552,64.831665
0.92811644,0.56545126,0.82529575,0.5161976,65.02123
0.94722474,0.5812592,0.82741886,0.51835454,64.808914
0.95177436,0.58271855,0.8389445,0.52394694,64.56627
0.94237185,0.57458776,0.83340913,0.5213485,64.680016
0.93630576,0.5726805,0.8409918,0.52502203,64.50561
