,validation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,0.9645132,0.6169383,0.54617834,0.31972954,79.943886
1,0.94328177,0.5998334,0.5837883,0.34619832,77.93449
2,0.93387926,0.5964539,0.58932364,0.3500321,77.64635
3,0.95298755,0.60314715,0.60198665,0.35724926,77.2293
4,0.98149836,0.61703557,0.5889445,0.35008907,77.60843
5,0.97361237,0.61004233,0.5853048,0.3473378,77.82075
6,0.9708826,0.61040634,0.590916,0.35080737,77.61601
7,0.98331815,0.6155623,0.5698362,0.33735058,78.54868
8,0.96360326,0.6128301,0.5732484,0.3371539,78.72308
9,0.9739157,0.61420566,0.5528511,0.32491237,79.51926
10,0.9711859,0.6150895,0.54928726,0.3226763,79.6785
11,0.9590537,0.6064172,0.54617834,0.3212205,79.73916
12,0.9611768,0.60840595,0.5381407,0.31625316,80.06521
13,0.9818016,0.62074363,0.5474674,0.32087913,79.83015
14,0.9563239,0.60621583,0.5479982,0.32157183,79.7619
15,0.9654231,0.6120336,0.54693663,0.32111734,79.78465
16,0.97573555,0.6171486,0.5477707,0.32188854,79.71641
17,0.9748256,0.61601895,0.54496515,0.3201999,79.81498
18,0.9557173,0.6077842,0.54253864,0.31792888,80.03488
19,0.9605702,0.60956055,0.54481345,0.3192198,79.95905
20,0.95935696,0.6089836,0.5429178,0.3178823,80.057625
21,0.9596603,0.6106338,0.5446618,0.3197817,79.87564
22,0.96178347,0.61111397,0.54397935,0.31993473,79.81498
23,0.9575372,0.60603905,0.5382924,0.31566894,80.16379
24,0.9569305,0.6072218,0.5446618,0.31950817,79.91356
25,0.9557173,0.6071931,0.5402639,0.3173478,80.00455
26,0.9654231,0.6128025,0.5459509,0.3194844,79.97422
27,0.94752806,0.6042092,0.53965724,0.31601697,80.171364
28,0.94601154,0.6016165,0.53844404,0.31667498,80.0273
29,0.9414619,0.5998506,0.5386715,0.31526694,80.232025
30,0.9696694,0.6169862,0.5382924,0.31476614,80.29269
31,0.9499545,0.6086488,0.5409463,0.317139,80.06521
32,0.97694874,0.6194289,0.5439035,0.31899756,79.9363
33,0.9723992,0.61332834,0.53624505,0.31344414,80.3761
34,0.94813466,0.60177094,0.5397331,0.31750533,79.95905
35,0.96239007,0.6112918,0.5429178,0.31921706,79.87564
36,0.96148014,0.608238,0.5445102,0.32040292,79.77707
37,0.95723385,0.6057536,0.54132545,0.31850547,79.89081
38,0.9596603,0.60887176,0.5431453,0.3186241,79.95905
39,0.95662725,0.6060909,0.5403397,0.31689146,80.07279
40,0.9639066,0.6135932,0.53768575,0.3153657,80.171364
41,0.9545041,0.6054032,0.5465575,0.3203572,79.87564
42,0.95086443,0.6035529,0.5375341,0.3155951,80.13345
43,0.96299666,0.61442745,0.5402639,0.31647876,80.13345
44,0.97148925,0.6169601,0.54215956,0.3172652,80.10313
45,0.9575372,0.6064833,0.5422354,0.3171298,80.13345
46,0.95784044,0.603903,0.538899,0.3159461,80.14104
47,0.9739157,0.61441195,0.54852897,0.3207125,79.92114
48,0.98119503,0.62027115,0.53905064,0.31587592,80.16379
49,0.9745223,0.6169112,0.5381407,0.31591305,80.11071
50,0.9760388,0.6139624,0.5381407,0.31604245,80.09554
51,0.96208674,0.60912496,0.54625416,0.32071614,79.79224
52,0.9545041,0.6024147,0.54200786,0.31827852,79.95147
53,0.9748256,0.61496925,0.5461025,0.32025355,79.86048
54,0.9633,0.6099525,0.5422354,0.3188979,79.868065
55,0.9802851,0.6199983,0.5430695,0.31868497,79.95147
56,0.9511677,0.60484755,0.54360026,0.31775936,80.11071
57,0.97148925,0.61586404,0.54329693,0.31870186,79.95147
58,0.9520776,0.60439706,0.54481345,0.31846923,80.057625
59,0.9651198,0.61154926,0.54132545,0.31779617,79.99696
60,0.97755533,0.61879283,0.53222626,0.31178868,80.42918
61,0.9654231,0.61348045,0.5398089,0.31653798,80.11071
62,0.97785866,0.6149987,0.53768575,0.31494054,80.232025
63,0.97634214,0.61639583,0.54633,0.31980097,79.943886
64,0.9532909,0.6047955,0.54337275,0.31837088,80.00455
65,0.9651198,0.61195135,0.5429936,0.31912342,79.883224
66,0.95359415,0.6059436,0.54557174,0.32005554,79.868065
67,0.95602065,0.6069622,0.5380649,0.31554842,80.171364
68,0.97573555,0.61978316,0.548074,0.32176265,79.74674
69,0.9548074,0.6052755,0.54193205,0.31732616,80.080376
70,0.96087354,0.6075553,0.5368517,0.3150199,80.17895
71,0.9675462,0.6145811,0.5457992,0.31922927,80.00455
72,0.9590537,0.60779184,0.5442827,0.31899616,79.95905
73,0.9660297,0.61065227,0.5439035,0.31887543,79.95905
74,0.97330904,0.61388165,0.5363209,0.3151027,80.156204
75,0.95359415,0.6042388,0.53996056,0.31704116,80.042465
76,0.96269333,0.60861945,0.5407947,0.31732425,80.03488
77,0.9581438,0.6094403,0.5457234,0.319368,79.97422
78,0.9633,0.6110175,0.54504097,0.31931427,79.95905
79,0.9584471,0.60971785,0.5416288,0.31815737,79.96664
80,0.96087354,0.6093312,0.54064304,0.31616658,80.18653
81,0.97725207,0.6197309,0.544586,0.31919196,79.943886
82,0.96208674,0.61366373,0.5410221,0.3175292,80.01213
83,0.9787686,0.6229628,0.54253864,0.31828776,79.97422
84,0.9654231,0.61257744,0.53988475,0.316869,80.057625
85,0.9584471,0.60573584,0.5418562,0.31760123,80.05005
86,0.9538975,0.6079921,0.537155,0.31479797,80.20928
87,0.9496512,0.6033623,0.5495147,0.32164976,79.83015
88,0.9639066,0.61045325,0.5385957,0.3154878,80.2017
89,0.9751289,0.61834896,0.5409463,0.31645465,80.171364
90,0.98695785,0.62560564,0.5394298,0.31666204,80.06521
91,0.9739157,0.62027156,0.5444343,0.3190593,79.943886
92,0.96269333,0.6117554,0.5451168,0.31975225,79.89081
93,0.95602065,0.6067864,0.5451168,0.31948602,79.92873
94,0.95602065,0.6079669,0.5377616,0.31496087,80.232025
95,0.9675462,0.6132499,0.54200786,0.31798956,79.99696
96,0.96663636,0.6144418,0.5395056,0.316501,80.08796
97,0.955414,0.607555,0.5429178,0.31863728,79.95147
98,0.9590537,0.6038445,0.5401122,0.31589106,80.216866
99,0.96633303,0.6139594,0.54693663,0.32072836,79.8529
100,0.9457082,0.60213983,0.542842,0.31767705,80.08796
101,0.97270244,0.6156254,0.54124963,0.31647742,80.17895
102,0.9669396,0.6091986,0.5442827,0.3189891,79.95905
103,0.9687595,0.61256975,0.54049134,0.31696922,80.06521
104,0.95662725,0.6043312,0.5409463,0.3173278,80.03488
105,0.9493479,0.60253805,0.54200786,0.31786802,80.00455
106,0.96239007,0.6085962,0.53298455,0.31274703,80.32302
