validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.1828935,0.693855,1.2358962,0.7285533,54.14013
1.1971489,0.69372886,1.1354262,0.67061824,57.597816
1.1798605,0.68524295,1.133758,0.66855824,57.817715
1.181377,0.687351,1.1313316,0.6667606,57.961784
1.1816803,0.6869143,1.1307249,0.666609,57.9542
1.0181984,0.6077944,1.1060054,0.65525347,58.40916
0.9511677,0.5750289,0.96292084,0.58476055,61.775856
0.9717925,0.5837284,0.9416136,0.5748926,62.16257
0.9159842,0.5568741,0.924401,0.5667128,62.52654
0.9302396,0.5631254,0.92409766,0.5663979,62.549286
0.9402487,0.5715974,0.90771914,0.55806005,62.973915
0.97421896,0.58466095,0.8987716,0.55475736,63.01183
0.9265999,0.56463546,0.8980892,0.55389345,63.110405
0.9202305,0.5589149,0.896421,0.5530613,63.148315
0.90506524,0.5505565,0.90028816,0.55500907,63.057323
0.9590537,0.57832754,0.896421,0.5535826,63.095238
0.90779495,0.5544997,0.88512284,0.54746294,63.413708
0.9235669,0.5613196,0.87390053,0.54182905,63.694267
0.93114954,0.56375474,0.88171065,0.5460884,63.43646
0.9457082,0.5705749,0.87041247,0.5404016,63.73976
0.91568094,0.5559803,0.8692751,0.5398598,63.747345
0.92902637,0.563421,0.86768275,0.53891057,63.81559
0.9208371,0.55866444,0.8644222,0.53753644,63.868668
0.92629665,0.5620682,0.8608584,0.53568476,63.952076
0.9238702,0.5617421,0.86101,0.53582567,63.92933
0.94176525,0.5685851,0.87951165,0.54494774,63.489536
0.9044586,0.55071926,0.8672278,0.53848135,63.861084
0.906885,0.5517254,0.85623294,0.5327062,64.15681
0.91689414,0.55852276,0.8544889,0.53103954,64.308464
0.9378223,0.56796956,0.843115,0.52714825,64.32362
0.914771,0.55756944,0.8481953,0.52857065,64.37671
0.9032454,0.5505113,0.8424325,0.5262846,64.4222
0.91780406,0.55851525,0.84569305,0.52819896,64.2933
0.9159842,0.55771583,0.84015775,0.52489763,64.49803
0.9451016,0.57230586,0.83735216,0.5245985,64.39945
0.9287231,0.5657511,0.8455414,0.5275775,64.369125
0.92750984,0.5639594,0.84827113,0.5292263,64.25539
0.9378223,0.57140124,0.83773124,0.5242343,64.4677
0.9414619,0.56986505,0.82939035,0.5193522,64.77859
0.9202305,0.56223035,0.835229,0.5229606,64.52836
0.9426752,0.57178724,0.83340913,0.52191,64.58902
0.9390355,0.5716977,0.8283288,0.5182581,64.87716
0.91841066,0.5654216,0.8219594,0.515758,64.89991
0.9193206,0.55966294,0.819912,0.515533,64.831665
0.93630576,0.56796294,0.83484983,0.52236336,64.581436
0.90567183,0.5545644,0.81475586,0.5120045,65.119804
0.9299363,0.57015735,0.82044286,0.5163562,64.73309
0.9402487,0.5786973,0.8058841,0.5073388,65.32454
0.9253867,0.57027924,0.8078556,0.5072498,65.468605
0.92629665,0.56566,0.80967546,0.510558,65.02123
0.9193206,0.5675047,0.816424,0.5137947,64.91508
0.9253867,0.56712145,0.8016378,0.50513774,65.468605
0.9229603,0.56306463,0.8048984,0.50734836,65.26388
0.9511677,0.5789466,0.79473764,0.5004872,65.779495
0.9259933,0.5664213,0.7972399,0.5018984,65.68851
0.9526843,0.5813947,0.7926145,0.50033987,65.68851
0.9196239,0.56768554,0.8008796,0.5038478,65.567184
0.91659087,0.56509906,0.7951926,0.4994705,65.92357
0.9545041,0.5800649,0.7952684,0.50077796,65.734
0.9581438,0.58422196,0.7859418,0.49488017,66.128296
0.9675462,0.5901459,0.7848802,0.49585998,65.93115
0.9278132,0.57510996,0.79413104,0.4984881,65.99939
0.95238096,0.58378434,0.7774492,0.4907202,66.29512
0.9278132,0.5665892,0.79140127,0.4969417,66.07522
0.93387926,0.57392675,0.78647256,0.49488622,66.14346
0.899909,0.5568488,0.7711556,0.48697096,66.53776
0.9293297,0.57178795,0.77593267,0.49013236,66.29512
0.9350925,0.5774137,0.77851075,0.49026534,66.40886
0.93600243,0.5741522,0.77358204,0.48632097,66.75008
0.948438,0.5847191,0.7669851,0.4828532,66.91689
0.95147103,0.58070046,0.7760085,0.48709747,66.75008
0.9457082,0.58506984,0.76933575,0.4850151,66.712166
0.93812555,0.5747374,0.7484835,0.47252655,67.523506
0.9538975,0.58323413,0.7576585,0.47673023,67.36427
0.9293297,0.57143337,0.7492417,0.47108787,67.75857
0.90658176,0.560299,0.7645587,0.4800908,67.18987
0.9399454,0.58525527,0.752199,0.47385955,67.500755
0.93812555,0.57889533,0.75303304,0.47375447,67.56142
0.9399454,0.58176607,0.74689114,0.4704822,67.72066
0.978162,0.5955861,0.74332726,0.46697512,68.03912
0.9229603,0.56988347,0.75045496,0.47136146,67.76615
0.9542008,0.5905912,0.74272066,0.46741542,67.948135
0.98695785,0.6083747,0.74332726,0.46654603,68.122536
