validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.4937823,0.8492739,1.3798908,0.80286175,50.121323
1.1825902,0.69039565,1.2710798,0.7358703,54.610252
1.173491,0.68471533,1.1883531,0.6947841,56.612072
1.1728845,0.68551475,1.1345162,0.66868824,57.83288
1.1737944,0.6854184,1.1329997,0.6669979,58.00728
1.1740977,0.686077,1.1326206,0.6670404,57.976948
1.1377009,0.6670197,1.1319381,0.66660225,58.00728
1.0767365,0.6377768,1.0829542,0.6423333,59.18259
1.0649076,0.63298994,1.0089475,0.6067233,60.79011
1.0084926,0.6033539,0.9852138,0.5953544,61.290565
0.9836215,0.5913398,0.9500303,0.57843524,62.048832
0.97725207,0.5895115,0.94457084,0.57569027,62.1929
0.96633303,0.5852806,0.9190173,0.562935,62.82226
0.970276,0.5869302,0.921747,0.5640927,62.784348
0.97148925,0.58635277,0.91515017,0.5605988,62.96633
0.96299666,0.5831421,0.91719747,0.5620876,62.852592
0.9824082,0.59200495,0.9225053,0.5646986,62.723686
0.96724296,0.58465195,0.903852,0.55568856,63.133152
0.9669396,0.5849848,0.90430695,0.55586946,63.133152
0.9490446,0.57595176,0.8927813,0.5495704,63.49712
0.94783133,0.5756125,0.9018805,0.5552257,63.110405
0.97846526,0.591406,0.9002123,0.55410117,63.178646
0.9372156,0.5705007,0.8996815,0.5537518,63.201393
0.96784955,0.58494776,0.89027905,0.5490059,63.44404
0.95723385,0.58005804,0.89293295,0.5500959,63.406128
0.9669396,0.5828549,0.89027905,0.5491025,63.44404
0.9584471,0.58057696,0.88952076,0.54881006,63.43646
0.97330904,0.58805674,0.8912648,0.54977757,63.39096
0.9496512,0.5751674,0.8785259,0.54315263,63.73218
0.94328177,0.5735768,0.8715499,0.5400709,63.838337
0.94601154,0.57533073,0.879815,0.543709,63.70185
0.96239007,0.5848004,0.88239306,0.5463057,63.451622
0.96239007,0.58192885,0.8695026,0.53892636,63.921745
0.9399454,0.5717649,0.8764786,0.5423509,63.747345
0.9511677,0.5759438,0.8680619,0.53854305,63.891415
0.9748256,0.58674586,0.86965424,0.53891915,63.914165
0.9344859,0.5672089,0.8672278,0.5369367,64.0734
0.9493479,0.57412523,0.87064,0.5396945,63.84592
0.96178347,0.5803621,0.86631787,0.53725,63.98999
0.936609,0.5704822,0.8623749,0.5361441,63.952076
0.9496512,0.575954,0.85570216,0.5317729,64.270546
0.9602669,0.5800885,0.8480437,0.52898544,64.308464
0.9426752,0.57328165,0.85600543,0.5321834,64.232635
0.93812555,0.57155925,0.8486503,0.52857065,64.407036
0.94601154,0.5732155,0.85282075,0.5303634,64.33879
0.94692147,0.5746423,0.8506976,0.52988267,64.308464
0.94297844,0.5739693,0.8616166,0.53497255,64.08856
0.9538975,0.5805682,0.8486503,0.527817,64.50561
0.9420686,0.5746584,0.84485894,0.52620727,64.52836
0.9414619,0.572231,0.8356081,0.5223008,64.6421
0.94722474,0.57469416,0.8437974,0.52631396,64.47528
0.94874126,0.5753233,0.84341824,0.5257943,64.55111
0.94237185,0.5751541,0.8501668,0.52904844,64.39187
0.95662725,0.5803092,0.8382621,0.523786,64.56627
0.9463148,0.5752515,0.8403852,0.5242487,64.61177
0.94874126,0.57862276,0.83932364,0.52328384,64.70276
0.96269333,0.5848804,0.8381104,0.5223967,64.76342
0.9584471,0.5818486,0.8305277,0.51928085,64.854416
0.9399454,0.5747111,0.83075523,0.5192797,64.86199
0.9611768,0.583589,0.8255232,0.51637757,65.02882
0.95935696,0.5822691,0.8274947,0.51853436,64.793755
0.9563239,0.5824032,0.83644223,0.5222037,64.70276
0.9611768,0.58229834,0.83143765,0.51949584,64.86199
0.9520776,0.5770922,0.82567483,0.51778966,64.808914
0.9532909,0.5794296,0.8228693,0.5164311,64.86199
0.9384289,0.57643217,0.8268881,0.51622695,65.119804
0.9463148,0.5744816,0.8304519,0.5189391,64.89991
0.96572644,0.5874997,0.8234001,0.5150204,65.11222
0.9526843,0.58104074,0.8242341,0.5160499,64.97574
0.94692147,0.5763894,0.82097363,0.5141054,65.119804
0.96784955,0.5869443,0.8128602,0.50958127,65.3852
0.9542008,0.5798219,0.8234759,0.5150184,65.08948
0.9441917,0.57648575,0.811192,0.50922936,65.3397
0.9690628,0.5898905,0.81801635,0.51256245,65.180466
0.9557173,0.583259,0.8234759,0.5152735,65.05156
0.9611768,0.5870048,0.812936,0.5106035,65.21838
0.9542008,0.58677614,0.8127844,0.50920874,65.42311
0.9548074,0.58396536,0.80050045,0.503616,65.65059
0.9633,0.59118295,0.80125874,0.50386107,65.65059
0.95025784,0.5781721,0.8134668,0.5102461,65.32454
0.9642099,0.5857321,0.8178647,0.5120037,65.27146
0.94722474,0.5816492,0.8156658,0.51095927,65.30179
0.96360326,0.5870363,0.8070974,0.50704986,65.468605
0.95784044,0.5881639,0.8014862,0.5033999,65.734
0.9563239,0.58525735,0.807249,0.5066069,65.52168
0.96148014,0.5855619,0.80254775,0.50391734,65.68092
0.95662725,0.585147,0.8006521,0.5013869,65.96148
0.94176525,0.5751845,0.8014104,0.50414944,65.582344
0.97421896,0.59186286,0.8028511,0.5043252,65.627846
0.9557173,0.581825,0.7957234,0.5011438,65.741585
0.94722474,0.58404434,0.8006521,0.50316507,65.69609
0.944495,0.57721555,0.79109794,0.49941406,65.75675
0.9463148,0.5785187,0.7957234,0.5003075,65.87049
0.95662725,0.58556235,0.7979982,0.5008738,65.893234
0.96784955,0.5959286,0.78571427,0.49469241,66.204124
