validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.0976646,0.6444551,1.3927054,0.80439353,50.65969
1.0973612,0.64415175,1.1529421,0.67822635,57.32484
1.0985745,0.6457495,1.1515014,0.6771962,57.40825
1.0976646,0.64503247,1.1511222,0.6766876,57.461327
1.0976646,0.6444551,1.151653,0.6772254,57.415833
1.0503488,0.6216099,1.1397482,0.6711986,57.711555
0.9590537,0.5780294,1.0275251,0.6160395,60.33515
0.9202305,0.5583948,0.97042763,0.5884436,61.58629
0.93327266,0.56485313,0.95162266,0.5802645,61.859264
0.9193206,0.563343,0.95791626,0.5837131,61.63937
0.9308462,0.5630341,0.92318773,0.5661401,62.534122
0.8980892,0.55123776,0.9187898,0.5633879,62.73127
0.9244768,0.5603923,0.921747,0.56507987,62.632698
0.91264784,0.55895066,0.903397,0.55601025,63.064907
0.8750379,0.535765,0.906885,0.5573976,63.026993
0.90718836,0.5532958,0.8918714,0.55042857,63.322716
0.91689414,0.5564491,0.8998332,0.5545767,63.095238
0.91719747,0.5612945,0.89005154,0.55017346,63.239307
0.92205036,0.5591791,0.8867152,0.54873055,63.29997
0.91264784,0.55439335,0.8898999,0.5494964,63.345467
0.88535035,0.5411943,0.8950561,0.55238885,63.178646
0.89596605,0.5473261,0.8879284,0.5489191,63.322716
0.9102214,0.55372596,0.8861844,0.54817706,63.353046
0.92326355,0.5617689,0.8917956,0.5508886,63.231724
0.9059751,0.55231994,0.8799666,0.5456137,63.413708
0.8983925,0.54809666,0.8792084,0.54456747,63.542614
0.89111316,0.54569805,0.8749621,0.54269475,63.59569
0.914771,0.5551254,0.8769336,0.54343146,63.58811
0.899909,0.54952306,0.86419475,0.5372065,63.883835
0.89080983,0.5456188,0.87609947,0.54331523,63.572945
0.89869577,0.5514888,0.85919017,0.5341767,64.0734
0.91264784,0.556095,0.8552472,0.53221667,64.16439
0.918714,0.5602815,0.8594935,0.5352569,63.936913
0.8950561,0.5486067,0.86684865,0.5394825,63.656353
0.90354866,0.55387443,0.8644222,0.53705734,63.899
0.9053685,0.55235046,0.85706705,0.5344463,63.914165
0.89111316,0.5463202,0.8524416,0.5324063,63.997574
0.9159842,0.5599198,0.844404,0.5273798,64.31605
0.8962693,0.5491666,0.8622232,0.5370581,63.792843
0.88808006,0.54756343,0.84356993,0.5267013,64.4222
0.8826206,0.54148227,0.8567637,0.53329563,64.080986
0.8944495,0.5471268,0.8508493,0.5308148,64.13406
0.90233546,0.5538296,0.8467546,0.5287361,64.24022
0.903852,0.5516918,0.8452381,0.5289903,64.14165
0.90172887,0.5560015,0.84288746,0.5270664,64.28571
0.91264784,0.55535305,0.8397028,0.52656966,64.22505
0.9199272,0.5605625,0.83507735,0.5230948,64.49045
0.9153776,0.5601864,0.8327267,0.52231216,64.482864
0.9059751,0.5535029,0.83788294,0.5239332,64.50561
0.89111316,0.54874647,0.8284804,0.52047485,64.52836
0.903852,0.5562337,0.81907797,0.51522917,64.831665
0.88595694,0.5479681,0.81589323,0.51272565,65.02882
0.9044586,0.5579656,0.8346982,0.5231973,64.42979
0.8856536,0.5480098,0.83014864,0.5210062,64.53594
0.9265999,0.5634328,0.8286321,0.51934654,64.68759
0.92265695,0.5641766,0.81255686,0.5118333,64.99848
0.89293295,0.5532017,0.8155899,0.51288074,64.9909
0.8993024,0.5503227,0.8141492,0.51212096,65.02123
0.91082805,0.5626035,0.8191538,0.51478374,64.89233
