validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.1182894,0.6578915,1.2461329,0.74266535,52.4037
1.1179861,0.65779513,1.1500607,0.6754445,57.6054
1.1213224,0.6608941,1.1454352,0.6730676,57.726723
1.0130422,0.6063957,1.0958447,0.64864767,58.89445
0.944495,0.57413954,1.0016682,0.6033014,60.941765
0.9111313,0.557523,0.9767971,0.59141713,61.457386
0.93751895,0.5726371,0.9498787,0.5776733,62.170155
0.90081894,0.5540165,0.9390355,0.572415,62.420383
0.896876,0.5536406,0.93744314,0.57258004,62.30664
0.88808006,0.5488517,0.9285714,0.56768066,62.5872
0.89111316,0.54750645,0.91985136,0.5633392,62.79193
0.88595694,0.5468184,0.9124204,0.5601028,62.890507
0.8962693,0.5543936,0.9178799,0.5623558,62.83743
0.8932363,0.54965985,0.91135883,0.559685,62.89809
0.8877768,0.5469658,0.91370946,0.56032264,62.920837
0.87625116,0.5413439,0.8968001,0.55258214,63.21656
0.8844404,0.54689884,0.9123446,0.56002295,62.89809
0.88656354,0.5456346,0.90225965,0.55543417,63.07249
0.9235669,0.5659797,0.89657265,0.5519406,63.3303
0.89596605,0.55119056,0.90028816,0.5542799,63.1559
0.8804974,0.544287,0.890734,0.5494271,63.398544
0.882014,0.5461448,0.88148314,0.5440973,63.73218
0.8944495,0.5528109,0.898165,0.5525496,63.322716
0.8729148,0.5413373,0.88390964,0.545681,63.61086
0.8892933,0.5570323,0.8927813,0.54982936,63.44404
0.87139827,0.54162467,0.8996057,0.55296576,63.315136
0.8898999,0.54913455,0.88572943,0.5470491,63.5047
0.89080983,0.5527827,0.88967246,0.5482257,63.52745
0.8862602,0.5463387,0.8806491,0.54514945,63.52745
0.87958753,0.54401606,0.8819381,0.544915,63.618443
0.892023,0.5509316,0.87966335,0.5444077,63.58811
0.8950561,0.5515392,0.87973917,0.5435142,63.73976
0.87048835,0.5418695,0.8729148,0.5405215,63.823174
0.87685776,0.54561967,0.86419475,0.535723,64.10373
0.8856536,0.5516476,0.86631787,0.53733104,63.967243
0.88231725,0.54532486,0.8659387,0.53683513,64.0279
0.892023,0.55093056,0.8626782,0.53520167,64.10373
0.9096148,0.5593642,0.87943584,0.54455376,63.542614
0.8659387,0.538575,0.87321806,0.5409739,63.770092
0.9059751,0.55677456,0.8623749,0.53517556,64.080986
0.8974826,0.5531227,0.86836517,0.53825516,63.914165
0.87958753,0.5452423,0.85691535,0.532382,64.209885
0.903852,0.5569898,0.8561571,0.53250134,64.16439
0.8792842,0.54477674,0.85395813,0.53149635,64.209885
0.8808007,0.54530203,0.8581286,0.53330314,64.14922
0.9002123,0.556916,0.84940857,0.52907354,64.33121
0.88383377,0.54777265,0.8587352,0.5329888,64.21747
0.8877768,0.55067825,0.849636,0.52877605,64.369125
0.87109494,0.54490024,0.8375796,0.5234588,64.55869
0.8898999,0.5574915,0.8440249,0.52560264,64.56627
