validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.0988778,0.64608145,1.2011677,0.7084784,55.239613
1.0837125,0.6410498,1.1472551,0.6748145,57.537155
0.98695785,0.5932231,1.0665756,0.635761,59.319077
0.9705793,0.5847876,0.98688203,0.59672767,61.161663
0.95784044,0.57882607,0.9595845,0.5837432,61.715195
0.96208674,0.58055645,0.957613,0.5833105,61.6697
0.9454049,0.57411116,0.9422202,0.5750122,62.139824
0.9745223,0.589469,0.9376706,0.57218254,62.32939
0.9505611,0.57842475,0.94464666,0.57668746,62.003338
0.9642099,0.58508813,0.93956625,0.5736747,62.20807
0.9526843,0.5788305,0.93531996,0.5722137,62.200485
0.9545041,0.5803398,0.92667574,0.5677853,62.427963
0.9496512,0.57470465,0.921747,0.5650617,62.564453
0.94783133,0.57502854,0.915226,0.5618544,62.73127
0.97634214,0.5882713,0.91340613,0.56185424,62.625114
0.9451016,0.57286304,0.91689414,0.5621254,62.776768
0.9548074,0.58201844,0.89945406,0.5528964,63.269638
0.93751895,0.5713154,0.91340613,0.56135166,62.70094
0.9654231,0.58377343,0.9123446,0.56073356,62.754017
0.9696694,0.58821034,0.91492265,0.56123376,62.799515
0.9705793,0.5888255,0.89778584,0.55255944,63.24689
0.9557173,0.58190787,0.90771914,0.55742216,63.004246
0.97361237,0.5874941,0.89854413,0.5532621,63.163483
0.98149836,0.5919917,0.8956627,0.5520974,63.178646
0.9538975,0.5784612,0.89869577,0.5521536,63.337883
0.9426752,0.57392675,0.8996057,0.55387235,63.133152
0.95298755,0.5787658,0.9059751,0.55714613,62.936
0.9639066,0.58630705,0.88603276,0.54682416,63.49712
0.9542008,0.5787526,0.89141643,0.54998505,63.292385
0.9818016,0.593462,0.87890506,0.5433842,63.64119
0.9557173,0.58294445,0.89255387,0.5503016,63.29997
0.95147103,0.5791261,0.890734,0.5484634,63.47437
0.95662725,0.5794458,0.8895966,0.54830605,63.44404
0.9551107,0.58007276,0.8730664,0.54183936,63.56536
0.95935696,0.58238244,0.87685776,0.54172134,63.770092
0.94237185,0.5742581,0.8790567,0.54399395,63.542614
0.96299666,0.5836098,0.87200487,0.53931415,63.87625
0.9787686,0.5924442,0.87048835,0.53911835,63.830753
0.97209585,0.5899595,0.86768275,0.5365162,64.0734
0.9681529,0.59083563,0.8735214,0.5393952,63.92933
0.9545041,0.5826637,0.87405217,0.54075426,63.747345
0.9575372,0.5837431,0.8621474,0.5348491,64.04307
0.9787686,0.59411275,0.8698059,0.5379338,63.944496
0.97148925,0.590843,0.87086743,0.53843576,63.92933
0.9669396,0.58789253,0.8655596,0.5356321,64.096146
0.9520776,0.5836095,0.86275405,0.533755,64.21747
0.9569305,0.5862916,0.85911435,0.5314838,64.36154
0.9651198,0.59074914,0.85653627,0.5310133,64.308464
0.9581438,0.5852936,0.8543373,0.52974683,64.384285
0.9596603,0.58713645,0.85403395,0.5297612,64.369125
0.9581438,0.5851153,0.8538823,0.52869254,64.520775
0.96360326,0.5897924,0.83993024,0.52146137,64.88474
0.98210496,0.5940932,0.8331817,0.5174024,65.1653
0.96269333,0.5885425,0.83484983,0.51770985,65.18805
