validation_mae,validation_mse,train_mae,train_mse,train_accuracy
2.7534122,1.4965918,1.4809675,0.84794897,48.559296
1.1028208,0.65530854,1.3371247,0.7666478,53.328785
1.1049439,0.65632236,1.1544586,0.67761546,57.484077
1.1058538,0.6580163,1.1530179,0.6760232,57.650894
1.1049439,0.6564849,1.1506673,0.6746195,57.741886
1.1082803,0.65817904,1.1514255,0.6753593,57.67364
1.1028208,0.65530854,1.1515772,0.6750043,57.726723
1.1028208,0.65530854,1.152108,0.6749397,57.764633
1.1028208,0.65530854,1.1522596,0.67566454,57.66606
1.1028208,0.65683246,1.1514255,0.6753595,57.658478
1.0103124,0.61005646,1.1020625,0.650486,58.909615
0.97755533,0.59569055,1.0032605,0.60226786,61.15408
0.9730058,0.5935969,0.98976344,0.59626436,61.373978
0.9402487,0.5763878,0.9676221,0.58489746,61.973007
0.94237185,0.5768243,0.9442675,0.57348967,62.511375
0.9454049,0.5778163,0.9384289,0.5711205,62.55687
0.94328177,0.57724756,0.9322111,0.5682651,62.67061
0.95784044,0.5856784,0.9201547,0.56296915,62.83743
0.93205947,0.5725777,0.92197454,0.5626998,62.9815
0.93114954,0.5718609,0.9131028,0.5592842,63.034576
0.93327266,0.5735692,0.89634514,0.55090326,63.451622
0.94692147,0.5799981,0.909539,0.5572177,63.171066
0.9229603,0.56813914,0.9032454,0.5544083,63.27722
0.93387926,0.5728151,0.903852,0.5550594,63.208977
0.9293297,0.57058716,0.8993024,0.55212176,63.406128
0.92902637,0.5719268,0.9076433,0.5561986,63.224144
0.9199272,0.5659639,0.88375795,0.543987,63.84592
0.9199272,0.5672518,0.89369124,0.5496222,63.489536
0.93387926,0.57316864,0.9018805,0.5540607,63.24689
0.929633,0.57196933,0.88823175,0.54641145,63.709435
0.9238702,0.56943333,0.885502,0.5454709,63.724598
0.91264784,0.5657116,0.88148314,0.5443597,63.663937
0.9238702,0.5682647,0.88595694,0.54571533,63.686684
0.9372156,0.57561845,0.90218383,0.5534239,63.345467
0.91628754,0.56507653,0.8863361,0.54557323,63.747345
0.9350925,0.5733915,0.8883076,0.5473048,63.58053
0.93205947,0.5734217,0.890734,0.54835814,63.53503
0.9074917,0.5621974,0.8873218,0.54586005,63.747345
0.9287231,0.57054275,0.8835305,0.54495674,63.686684
0.91416436,0.5640922,0.8806491,0.54387313,63.717014
0.9372156,0.57598895,0.8806491,0.5433886,63.762512
0.92478013,0.5681691,0.8714741,0.53853,64.04307
0.89869577,0.55646604,0.8722323,0.539569,63.936913
0.93236274,0.5726582,0.88292384,0.54447645,63.709435
0.92569,0.57051224,0.87594783,0.5412991,63.830753
0.92811644,0.57537943,0.88390964,0.54436696,63.78526
0.93205947,0.5741455,0.87253565,0.5388079,64.035484
0.91416436,0.5639741,0.85919017,0.5323864,64.33879
0.93266606,0.5751367,0.8673794,0.5363514,64.14922
0.92902637,0.57211673,0.86396724,0.53489965,64.18714
0.929633,0.5706987,0.8772369,0.54246974,63.724598
0.9347892,0.5751442,0.85714287,0.5318335,64.308464
0.9265999,0.5713921,0.85972095,0.5327105,64.30088
0.93175614,0.5735323,0.86320895,0.5350364,64.13406
0.92478013,0.57122934,0.8680619,0.5374855,64.020325
0.91416436,0.56401825,0.84933275,0.52812207,64.44495
0.933576,0.57385737,0.8604034,0.5329227,64.308464
0.9208371,0.5672877,0.8537307,0.53001165,64.39945
0.9047619,0.56386364,0.85282075,0.52907217,64.50561
0.91416436,0.5648156,0.8572945,0.5322951,64.232635
0.91719747,0.56706357,0.8564604,0.53163886,64.30088
0.9287231,0.5710453,0.85130423,0.5299155,64.2933
0.9099181,0.56435835,0.85418564,0.5307073,64.32362
0.9393388,0.57849586,0.8537307,0.5304289,64.346375
0.91750073,0.56723666,0.85683954,0.53206706,64.2478
0.93114954,0.5743163,0.8488778,0.5274373,64.543526
0.921747,0.5694854,0.8455414,0.5263571,64.52836
0.91750073,0.5670718,0.8425083,0.5238233,64.77859
0.92902637,0.5729897,0.844404,0.52530146,64.6421
0.9511677,0.5845251,0.8460722,0.5259339,64.61177
0.9199272,0.56905544,0.8431908,0.52537847,64.55869
0.9144677,0.5678422,0.83856535,0.522344,64.74825
0.9208371,0.56891525,0.83507735,0.52103716,64.793755
0.9414619,0.57876766,0.84569305,0.52713406,64.4222
0.9344859,0.5751062,0.84015775,0.522435,64.84683
0.91143465,0.56322646,0.83939946,0.5229045,64.717926
0.92902637,0.5752236,0.8453139,0.5258963,64.581436
0.9199272,0.5698972,0.83591145,0.52125806,64.78617
0.9329694,0.5741824,0.8375796,0.52134037,64.854416
0.9356991,0.5772058,0.82711554,0.5163532,65.06673
0.93175614,0.5740191,0.83287835,0.5202141,64.793755
0.91841066,0.56792456,0.8329542,0.5199283,64.83925
0.92811644,0.57785296,0.85274494,0.5297876,64.36154
0.9196239,0.56660724,0.84349406,0.52550375,64.53594
0.9132545,0.5671449,0.82734305,0.51688784,64.99848
0.9132545,0.56625706,0.8329542,0.52077186,64.71034
0.9208371,0.5706733,0.8338641,0.5201174,64.84683
0.9299363,0.5744196,0.8356081,0.52117324,64.78617
0.92569,0.5715771,0.8214286,0.5136109,65.180466
0.9463148,0.5798799,0.8306036,0.51763046,65.06673
0.92841977,0.575299,0.8418259,0.5243138,64.62693
0.91355777,0.5670503,0.8278738,0.5169153,65.043976
0.9390355,0.57965684,0.8228693,0.5138568,65.24113
0.91719747,0.566488,0.820367,0.513397,65.18805
0.9223536,0.5735679,0.8305277,0.5183713,64.93782
0.92326355,0.57280666,0.8157416,0.51110613,65.26388
0.899909,0.5632537,0.8069457,0.50569713,65.627846
0.90263873,0.56190175,0.78905064,0.49666113,66.07522
0.9138611,0.56865364,0.80247194,0.5034573,65.741585
0.9074917,0.5645482,0.7988323,0.5015895,65.84016
0.9002123,0.5609539,0.79678494,0.5007254,65.86291
0.89869577,0.56113905,0.7851835,0.49452543,66.1738
0.90203214,0.5622689,0.7845011,0.4941531,66.19654
