,validatation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,1.1458902,0.6685356,1.336973,0.78389037,50.97816
1,1.0697604,0.63454276,1.1267061,0.66512465,57.931454
2,0.94601154,0.5712163,0.9994692,0.6027859,60.888687
3,0.94176525,0.573111,0.9425235,0.5755115,62.079163
4,0.8956627,0.54730535,0.9251592,0.56628054,62.594784
5,0.9259933,0.5622786,0.9257659,0.56626254,62.640278
6,0.91264784,0.5564478,0.9093115,0.5590513,62.882923
7,0.90172887,0.5526023,0.90923566,0.5582355,63.01183
8,0.8989991,0.54848164,0.9074917,0.5579746,62.95875
9,0.91082805,0.5567737,0.8989991,0.5542713,63.087654
10,0.9111313,0.55435497,0.8998332,0.5544658,63.087654
11,0.91659087,0.5579793,0.89293295,0.5508055,63.292385
12,0.9002123,0.5491467,0.89460117,0.55110586,63.322716
13,0.89869577,0.5500861,0.8826964,0.5457952,63.512283
14,0.91264784,0.5588299,0.89149225,0.55052245,63.239307
15,0.89232635,0.5471212,0.8856536,0.5476616,63.375797
16,0.88899,0.54434484,0.90658176,0.55746746,62.96633
17,0.8956627,0.54908055,0.8904307,0.5498196,63.307552
18,0.90779495,0.5555315,0.8869427,0.54707634,63.52745
19,0.914771,0.5583498,0.8846679,0.54662085,63.489536
20,0.88322717,0.54219353,0.888535,0.54907113,63.315136
21,0.89717925,0.54827374,0.8718532,0.54021925,63.808006
22,0.9144677,0.5601914,0.87192905,0.5398106,63.868668
23,0.8747346,0.5391888,0.8693509,0.5393373,63.800423
24,0.8935396,0.5471192,0.870185,0.53957546,63.823174
25,0.8947528,0.54937,0.87086743,0.5390675,63.921745
26,0.90172887,0.551817,0.8679102,0.5389064,63.800423
27,0.9053685,0.553563,0.86563545,0.53649807,64.05065
28,0.90233546,0.55192065,0.86176825,0.5366109,63.823174
29,0.90506524,0.55246264,0.86336064,0.53678626,63.891415
30,0.90354866,0.55356073,0.85828024,0.5342546,63.997574
31,0.9047619,0.55397683,0.8495602,0.52981395,64.21747
32,0.9208371,0.56027365,0.86176825,0.5357674,63.936913
33,0.90294206,0.55428576,0.85653627,0.53293276,64.11131
34,0.8993024,0.55356324,0.84993935,0.52917254,64.31605
35,0.9102214,0.5574245,0.8466788,0.5277172,64.37671
36,0.90840155,0.5561943,0.8523658,0.5304521,64.25539
37,0.9123446,0.55641073,0.8418259,0.5260146,64.384285
38,0.896876,0.5490947,0.84212923,0.5264041,64.33879
39,0.90840155,0.55745316,0.8403094,0.523832,64.657265
40,0.90294206,0.5570406,0.84023356,0.52508134,64.45253
41,0.9011222,0.5574231,0.83431906,0.52142256,64.695175
42,0.8980892,0.5539912,0.84372157,0.5261835,64.44495
43,0.88231725,0.5502615,0.8318926,0.52003646,64.75584
44,0.91416436,0.56011033,0.8398544,0.52496475,64.43737
45,0.89020324,0.5534253,0.83454657,0.5206483,64.82408
46,0.91416436,0.5662608,0.8356081,0.52071184,64.83925
47,0.903852,0.5565137,0.8240825,0.51456773,65.18805
48,0.91841066,0.5649305,0.8257507,0.51647526,64.99848
49,0.9253867,0.5714644,0.8262815,0.51652986,64.9909
50,0.9074917,0.55707705,0.82385504,0.51506495,65.09706
51,0.9129512,0.56226933,0.827798,0.516718,65.05156
52,0.92902637,0.57217747,0.81475586,0.5099411,65.40794
53,0.9059751,0.5615228,0.80967546,0.50680333,65.59751
54,0.90354866,0.55487883,0.8085381,0.50624645,65.643005
55,0.90840155,0.55915684,0.8097513,0.50782263,65.42311
56,0.9308462,0.57637817,0.8050501,0.5038307,65.82499
57,0.9372156,0.57782316,0.80338186,0.50383073,65.72642
58,0.9496512,0.58632106,0.8031544,0.50218815,65.96906
59,0.899909,0.5546311,0.7940552,0.4966655,66.31786
60,0.8892933,0.55140835,0.79344857,0.49791914,66.090385
61,0.9047619,0.56042755,0.795875,0.49886903,66.0828
62,0.93539584,0.5762645,0.80618745,0.5033075,65.94631
63,0.9241735,0.5763638,0.7901122,0.4937504,66.53776
64,0.9093115,0.5678897,0.7797998,0.4891498,66.68183
65,0.93114954,0.57743376,0.7924628,0.49553156,66.378525
66,0.91780406,0.57310104,0.79496515,0.49611086,66.44677
67,0.92629665,0.5706294,0.79989386,0.49862823,66.28754
68,0.9341826,0.57514185,0.78131634,0.48789933,66.96239
69,0.9190173,0.5732192,0.78791326,0.49142274,66.74249
70,0.93630576,0.5751365,0.77570516,0.48555064,67.000305
71,0.93114954,0.5729938,0.7755535,0.4858874,66.9548
72,0.93327266,0.5829035,0.7763118,0.4847922,67.174706
73,0.95298755,0.5911174,0.7690325,0.48063162,67.40977
74,0.9250834,0.57487524,0.7640279,0.4774754,67.62966
75,0.9356991,0.5813616,0.77077645,0.48185766,67.30361
76,0.92690325,0.57901084,0.77714586,0.48469445,67.2202
77,0.92144376,0.5754773,0.7628147,0.47807148,67.47043
78,0.92478013,0.57692695,0.7576585,0.47414407,67.78132
79,0.9208371,0.575066,0.75553536,0.47217956,67.97846
80,0.9347892,0.5786916,0.7569002,0.47221273,68.03154
81,0.9490446,0.59405714,0.7550804,0.47079614,68.14529
82,0.92690325,0.57789546,0.7449955,0.46483576,68.51683
83,0.9117379,0.57428277,0.7528814,0.46819767,68.44101
84,0.9372156,0.5802461,0.75318474,0.468634,68.372765
85,0.9399454,0.5854441,0.74673945,0.4649409,68.585075
86,0.9278132,0.5791128,0.7445405,0.46429202,68.56991
87,0.940552,0.58398336,0.7493934,0.4681377,68.25144
88,0.92569,0.5829109,0.73688203,0.45889327,68.99454
89,0.936609,0.58888423,0.746512,0.46405545,68.721565
90,0.92053384,0.5732273,0.7289202,0.4544091,69.23718
91,0.9463148,0.59240746,0.74302393,0.46144766,68.933876
92,0.93175614,0.5803363,0.7303609,0.45492095,69.26752
93,0.944495,0.5915351,0.73058844,0.45196155,69.71489
94,0.91204125,0.57045794,0.7248256,0.45053306,69.608734
95,0.94722474,0.58948326,0.71989685,0.44605926,70.03336
96,0.9441917,0.5930047,0.7366545,0.45564967,69.42675
