,validatation_mae,validation_mse,train_mae,train_mse
347,0.99666363,0.6351769,0.53495604,0.3127437
348,1.0103124,0.6454676,0.52782834,0.30940285
349,0.99696696,0.6366827,0.52873826,0.30975083
350,1.0018198,0.6392374,0.5323021,0.3116174
351,0.9854413,0.6293113,0.5360176,0.31334242
352,0.9993934,0.63774616,0.5177434,0.30333537
353,1.0009099,0.6374285,0.5219897,0.3059392
354,0.98847437,0.6317068,0.5251744,0.30759242
355,0.985138,0.6290975,0.5288141,0.3101524
356,1.0072794,0.6403959,0.53366697,0.3114283
357,0.99757355,0.6338849,0.53161967,0.3115928
358,0.98908097,0.63386977,0.5323779,0.31185937
359,1.0003033,0.64125925,0.5231271,0.30622214
360,0.98756444,0.63047284,0.5329087,0.31191665
361,0.99332726,0.63163465,0.5280558,0.3098597
362,0.9963603,0.63611585,0.52873826,0.30952168
363,1.022748,0.6506397,0.52221715,0.30504227
364,1.0060661,0.64002174,0.5317713,0.3108346
365,0.99211407,0.631207,0.5260843,0.30832076
366,0.99241734,0.63343424,0.52957237,0.31053331
367,0.98695785,0.62892026,0.5297998,0.31015807
368,0.99878675,0.6369911,0.52729756,0.30903524
369,0.98119503,0.6269296,0.52797997,0.30878213
370,0.99818015,0.6377741,0.52987564,0.31048527
371,0.985138,0.63155264,0.53017896,0.3097597
372,0.9854413,0.6295935,0.5318471,0.31089932
373,0.99181074,0.63313603,0.5296482,0.3102577
374,0.9945405,0.63250995,0.52866244,0.3096896
375,1.0036397,0.6395661,0.5377616,0.3144424
376,0.9905975,0.6330051,0.53078556,0.31046313
377,0.99272066,0.6313826,0.5254777,0.30826548
378,0.99818015,0.6398015,0.52934486,0.3099027
379,1.0009099,0.6388035,0.52813166,0.3095433
380,0.9830149,0.6276247,0.52388537,0.30692086
381,0.9990901,0.6379738,0.5288141,0.31073275
382,1.0054595,0.6417848,0.52790415,0.30879828
383,0.9818016,0.62724036,0.53419775,0.31167057
384,0.9839248,0.6295099,0.5324538,0.31177202
385,0.99605703,0.6351628,0.5251744,0.3079104
386,0.9909008,0.6324333,0.52714586,0.30851343
387,1.0012132,0.6396237,0.5277525,0.30904204
388,0.98635125,0.63195205,0.5274492,0.30779228
389,0.9802851,0.6270853,0.5366242,0.31463313
390,0.9872612,0.63102955,0.53078556,0.31136215
391,0.97785866,0.6256349,0.529724,0.30961964
392,0.99211407,0.6339714,0.53010315,0.31071946
393,0.9909008,0.63411975,0.5294207,0.31000423
394,0.9984835,0.63593507,0.5283591,0.3090285
395,0.9963603,0.6371678,0.52638763,0.30834344
396,0.98695785,0.6317008,0.5276008,0.30978245
397,1.010009,0.6398398,0.5357901,0.3133106
398,0.9945405,0.63397473,0.5255535,0.307088
399,0.99302393,0.632782,0.5290415,0.31010208
