validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.14862,0.67669547,1.3877767,0.7944253,51.599937
1.1501365,0.6778275,1.1379284,0.6687236,58.00728
1.0282074,0.6170764,1.069457,0.6358153,59.47073
1.0254776,0.6140962,0.9817258,0.59452176,61.229904
0.9948438,0.6000178,0.9605702,0.583038,61.882015
0.9915074,0.59848607,0.94532907,0.57593495,62.17774
0.9842281,0.5951713,0.93751895,0.5717483,62.4128
0.99878675,0.60187423,0.93615407,0.57114583,62.420383
0.99818015,0.60236216,0.9350167,0.57090306,62.390053
0.9839248,0.5939517,0.9287989,0.56783706,62.55687
0.98817104,0.5982556,0.9180316,0.5623221,62.83743
0.9739157,0.59212434,0.92690325,0.5660262,62.723686
0.9639066,0.58763343,0.92614496,0.5669059,62.549286
0.9848347,0.5951713,0.91772825,0.5622222,62.83743
0.97148925,0.59002197,0.9168183,0.56161135,62.86776
1.0,0.6027765,0.9129512,0.5596494,62.95875
0.9633,0.58569515,0.9013497,0.55406857,63.224144
0.97330904,0.59079087,0.90650594,0.5560522,63.18623
0.96269333,0.5863748,0.9052927,0.55574083,63.163483
0.9799818,0.5932335,0.90066725,0.5536605,63.239307
1.0269942,0.61615884,0.89649683,0.55214614,63.254475
0.98271155,0.5954899,0.89285713,0.5492605,63.5047
1.0,0.6055852,0.88315135,0.54433745,63.747345
0.9745223,0.591576,0.8949803,0.5510799,63.322716
0.97725207,0.5941857,0.898165,0.55248934,63.284805
0.9915074,0.5984869,0.8927055,0.5493087,63.481953
0.98635125,0.6004313,0.8818623,0.54364806,63.777676
0.9717925,0.5890977,0.88451624,0.54560596,63.626022
0.97421896,0.5900317,0.87192905,0.5394024,63.914165
0.99332726,0.601089,0.87769186,0.5431415,63.64119
0.9802851,0.5945562,0.8808007,0.5438659,63.679104
0.98271155,0.5990112,0.8842129,0.5450988,63.686684
0.99696696,0.6034851,0.8715499,0.5393035,63.891415
1.0003033,0.6050479,0.8685927,0.536622,64.15681
0.9915074,0.6060749,0.86108583,0.5326952,64.35396
1.0021231,0.60621804,0.8679102,0.5368386,64.058235
0.9839248,0.59739953,0.8632848,0.53425354,64.22505
0.9836215,0.5961476,0.8615408,0.5330062,64.308464
0.9751289,0.5955853,0.87109494,0.53876036,63.92933
0.9818016,0.5969175,0.8602517,0.5325085,64.31605
0.99272066,0.60444665,0.8538823,0.52872866,64.543526
0.9830149,0.5975229,0.851835,0.5275506,64.619354
0.98695785,0.60066766,0.8437974,0.52467084,64.66485
0.9839248,0.60072637,0.8406885,0.52127534,64.9909
1.0133455,0.611448,0.84501064,0.52353346,64.87716
0.9842281,0.60126454,0.84645134,0.52427554,64.831665
0.9984835,0.6090713,0.8337883,0.51814765,65.08948
0.99241734,0.60884804,0.85221416,0.5268601,64.74825
0.9796785,0.59766287,0.83371246,0.5179137,65.10464
0.9878678,0.6007334,0.8292387,0.51505244,65.30179
0.9830149,0.6009689,0.82590234,0.51297,65.43828
0.9751289,0.60203576,0.83795875,0.51985157,65.0364
1.0103124,0.61261433,0.82393086,0.5114015,65.57477
