validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.1534729,0.6752324,1.234683,0.73075235,53.77616
1.1549894,0.6769267,1.1383076,0.6693279,57.916286
1.156506,0.67666763,1.1380801,0.6697071,57.84046
1.1534729,0.6752324,1.137246,0.6687214,57.946617
1.1534729,0.6752324,1.1373976,0.66893584,57.92387
1.1531695,0.67492914,1.1373976,0.66884696,57.939034
1.1537762,0.67535806,1.1370184,0.66868997,57.939034
1.1546861,0.675839,1.1358811,0.6683994,57.92387
1.0236579,0.612763,1.056415,0.6294569,59.758873
0.9802851,0.59137756,0.9601911,0.58289975,61.889595
0.9669396,0.5876927,0.9369882,0.5709452,62.518955
0.9669396,0.58566594,0.9428268,0.57427204,62.314224
0.94661814,0.5771798,0.9322111,0.5697587,62.435547
0.94297844,0.57553685,0.9166667,0.56178963,62.852592
0.94601154,0.57498974,0.91226876,0.5593108,62.996662
0.9399454,0.57174945,0.8955111,0.55119073,63.383377
0.9511677,0.57731974,0.906885,0.55714154,63.057323
0.92478013,0.5644109,0.9046103,0.5557844,63.1559
0.9496512,0.57762307,0.8970276,0.55208915,63.307552
0.9384289,0.5710022,0.90006065,0.55343175,63.262054
0.95177436,0.57869536,0.8847437,0.5464588,63.542614
0.9493479,0.57616603,0.88572943,0.5466018,63.572945
0.9408553,0.57125443,0.8767061,0.542457,63.73976
0.94874126,0.5774974,0.8770094,0.54200965,63.823174
0.94692147,0.5751154,0.8750379,0.5418386,63.73976
0.9159842,0.5609405,0.8841371,0.5458452,63.58811
0.91689414,0.56032723,0.86821353,0.5385841,63.868668
0.9402487,0.5740062,0.8738247,0.5408892,63.808006
0.92841977,0.5660834,0.86601454,0.53767216,63.914165
0.91780406,0.5623624,0.8745071,0.54159623,63.747345
0.92690325,0.56625205,0.8655596,0.5366773,64.0279
0.93054295,0.56817704,0.85706705,0.5327339,64.17956
0.9144677,0.56035596,0.85691535,0.53293675,64.14922
0.9520776,0.5794427,0.85919017,0.53315616,64.24022
0.9387322,0.5739986,0.86464965,0.53628904,64.0279
0.93630576,0.5740732,0.84705794,0.5273229,64.49045
0.93539584,0.57020277,0.8587352,0.5338623,64.10373
0.91416436,0.55983293,0.8508493,0.5297302,64.308464
0.91264784,0.56241524,0.84425235,0.5258606,64.55111
0.9144677,0.5602847,0.8441007,0.5251871,64.64968
0.944495,0.58026266,0.8488778,0.5280071,64.4677
0.93236274,0.5700563,0.83993024,0.522699,64.808914
