,validation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,0.95359415,0.6009579,0.55686986,0.32800978,79.269035
1,0.94692147,0.5978325,0.56953293,0.33716184,78.56384
2,0.96208674,0.60847545,0.58303005,0.34620866,77.896576
3,0.9642099,0.61036307,0.5876554,0.3499065,77.5781
4,0.9584471,0.6062269,0.5903094,0.3511625,77.525024
5,0.9717925,0.61514586,0.59485894,0.35287836,77.48711
6,0.9693661,0.61617786,0.58227175,0.3455656,77.94207
7,0.9660297,0.61098164,0.5573248,0.32931075,79.10221
8,0.9645132,0.6089595,0.5591447,0.32969666,79.132545
9,0.948438,0.6015707,0.55050045,0.32435906,79.48893
10,0.9651198,0.60952485,0.54557174,0.32080242,79.7619
11,0.95935696,0.60892254,0.5493631,0.32340288,79.57234
12,0.97694874,0.6190297,0.5409463,0.31805593,79.9363
13,0.9730058,0.6183852,0.5375341,0.31522143,80.17895
14,0.97634214,0.61682266,0.5394298,0.3162776,80.11071
15,0.97148925,0.6158358,0.5410221,0.3165676,80.156204
16,0.9909008,0.6240897,0.5351835,0.31332198,80.34577
17,0.98058844,0.6219268,0.5377616,0.31496444,80.22445
18,0.97755533,0.619548,0.53503186,0.31332576,80.33819
19,0.9824082,0.62066054,0.53624505,0.31364346,80.34577
20,0.9857446,0.6189919,0.5323779,0.31138223,80.48984
21,1.0,0.62906057,0.53078556,0.31155738,80.391266
22,0.99696696,0.62888414,0.5347285,0.31276357,80.40643
23,0.97148925,0.6138684,0.5326812,0.31134868,80.505005
24,0.970276,0.61274326,0.53412193,0.31245616,80.42918
25,0.9739157,0.6175047,0.5300273,0.30920187,80.702156
26,0.99241734,0.62457126,0.53078556,0.31004497,80.61116
27,0.96299666,0.6084211,0.5310131,0.31004718,80.61116
28,0.96845615,0.61567074,0.5290415,0.30903348,80.67182
29,0.97573555,0.6214695,0.5282833,0.3085526,80.702156
30,0.9854413,0.62522817,0.5316955,0.31034037,80.618744
31,0.978162,0.6186171,0.52926904,0.3092613,80.641495
32,0.97573555,0.61997753,0.5280558,0.3088873,80.641495
33,0.9787686,0.61832005,0.5247953,0.3061151,80.88414
34,0.9760388,0.6226167,0.53070974,0.31006148,80.60358
35,0.970276,0.61331964,0.5253261,0.30636853,80.87656
36,0.99211407,0.6274044,0.5203215,0.30412328,80.95996
37,0.97361237,0.6195103,0.52797997,0.30774996,80.80073
38,0.9730058,0.6165376,0.52729756,0.30774808,80.76282
39,0.96784955,0.61243206,0.5220655,0.30454707,80.990295
40,0.97755533,0.6194289,0.52851075,0.30799988,80.793144
41,0.96269333,0.6141676,0.522293,0.30503663,80.93722
42,0.97694874,0.6188805,0.52426445,0.30566207,80.92205
43,0.95723385,0.60718715,0.522293,0.3037536,81.11162
44,0.9824082,0.6217528,0.52434033,0.30541262,80.967545
45,0.96299666,0.61231226,0.52957237,0.30818087,80.80831
46,0.9584471,0.6104109,0.5276008,0.30774504,80.78556
47,0.9681529,0.613547,0.52653927,0.3060579,80.98271
48,0.9696694,0.6158781,0.51941156,0.30274764,81.11162
49,0.97148925,0.6176846,0.5214589,0.30423623,80.99788
50,0.97725207,0.6179133,0.5248711,0.30581394,80.929634
51,0.9590537,0.60840183,0.5188808,0.30227575,81.17228
52,0.9687595,0.614794,0.521838,0.3043345,81.00546
53,0.9642099,0.6138081,0.52358204,0.30493525,80.990295
54,0.98149836,0.620384,0.521838,0.30366892,81.09645
55,0.97694874,0.6192379,0.52070063,0.30371878,81.028206
56,0.98149836,0.62215835,0.52077645,0.30346847,81.08128
57,0.98058844,0.62201756,0.52100396,0.30420592,80.98271
58,0.98635125,0.6261675,0.52130723,0.3034445,81.09645
59,0.9699727,0.61359364,0.52138305,0.30404937,81.02062
60,0.9824082,0.61936915,0.5169093,0.3010142,81.2481
61,0.95784044,0.60872716,0.52669096,0.30707487,80.831055
62,0.9818016,0.6191603,0.5211556,0.30389562,81.028206
63,0.9766454,0.6181049,0.52214134,0.30425268,81.03579
64,0.9696694,0.6176252,0.52305126,0.3044156,81.03579
65,0.9645132,0.61110747,0.51941156,0.30257383,81.13436
66,0.9711859,0.6140073,0.51880497,0.30218866,81.17228
67,0.98635125,0.6227975,0.51941156,0.30329463,81.03579
68,0.970276,0.6171054,0.5212314,0.30352008,81.08128
69,0.97846526,0.61888814,0.5233546,0.30521435,80.95238
70,0.9802851,0.62194896,0.5153928,0.30046684,81.26327
71,0.98271155,0.62294304,0.522293,0.30445662,81.01304
72,0.98331815,0.6220989,0.52449197,0.30470586,81.0737
73,0.98908097,0.6295926,0.5178192,0.3021906,81.11162
74,0.97785866,0.6213455,0.52502275,0.306117,80.8993
75,0.9693661,0.616124,0.5220655,0.3041471,81.05096
76,0.96663636,0.61471075,0.51562023,0.30050233,81.26327
77,0.96572644,0.61350244,0.51728845,0.3011236,81.2481
78,0.96148014,0.61036986,0.521838,0.30366507,81.104034
79,0.9699727,0.61258614,0.5147862,0.30075586,81.17986
80,0.9739157,0.6163384,0.52525026,0.30598208,80.929634
81,0.9739157,0.6167662,0.51797086,0.30187997,81.17228
82,0.9642099,0.611659,0.52016985,0.30291387,81.13436
83,0.96633303,0.61447746,0.52138305,0.30416366,81.00546
84,0.98149836,0.6205467,0.5248711,0.30520332,81.02062
85,0.96724296,0.6139714,0.5216864,0.30439246,80.99788
86,0.9839248,0.6223211,0.51948744,0.3032781,81.04337
87,0.96208674,0.61141974,0.52236885,0.30429563,81.02062
88,0.98271155,0.62224966,0.5219139,0.30365917,81.104034
89,0.9878678,0.6263644,0.52138305,0.30345795,81.104034
