,validation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,1.1340612,0.6691968,1.3825448,0.79409236,51.19806
1,1.162572,0.69073147,1.1458902,0.67394006,57.61298
2,1.1340612,0.6691967,1.1447529,0.6725172,57.7798
3,1.1364877,0.6716232,1.145511,0.67248493,57.81013
4,1.1340612,0.6691968,1.1417955,0.6702858,57.946617
5,1.0821959,0.6438296,1.1113892,0.65530705,58.674553
6,0.96784955,0.58804137,1.0175159,0.6097691,60.767365
7,0.97209585,0.59012765,0.9555657,0.5796239,62.147408
8,0.94115865,0.57521385,0.93820137,0.57142866,62.50379
9,0.9299363,0.56983453,0.9237943,0.5638753,62.913254
10,0.9132545,0.5615717,0.91719747,0.56089616,63.026993
11,0.9293297,0.57085496,0.91120714,0.558135,63.140736
12,0.9329694,0.57251257,0.91060054,0.5577576,63.1559
13,0.93236274,0.57045656,0.91204125,0.5585063,63.117985
14,0.9244768,0.5688262,0.9082499,0.55712306,63.140736
15,0.9278132,0.5688954,0.8996815,0.55247194,63.398544
16,0.94237185,0.5769588,0.8967243,0.55091244,63.47437
17,0.93751895,0.5752715,0.89293295,0.54912263,63.55778
18,0.92569,0.56936127,0.8939187,0.5499303,63.47437
19,0.9096148,0.5637156,0.88512284,0.5455546,63.70185
20,0.9238702,0.5680452,0.8786776,0.5419466,63.90658
21,0.9344859,0.5740742,0.86889595,0.53755754,64.080986
22,0.91628754,0.56506085,0.88292384,0.54438776,63.777676
23,0.9250834,0.56950724,0.88117987,0.5431873,63.861084
24,0.9111313,0.5639579,0.8846679,0.54534316,63.694267
25,0.906885,0.56228906,0.8765544,0.54142064,63.883835
26,0.9223536,0.5680796,0.8786776,0.54265255,63.808006
27,0.9238702,0.5679844,0.8744313,0.5407699,63.883835
28,0.9150743,0.5663475,0.8604034,0.533832,64.194725
29,0.9193206,0.5655947,0.87041247,0.5388073,63.952076
30,0.9341826,0.5756189,0.8523658,0.529982,64.36154
31,0.91628754,0.56714815,0.8578253,0.5323495,64.28571
32,0.9144677,0.56464726,0.8537307,0.53114694,64.25539
33,0.90567183,0.55987644,0.85979676,0.532538,64.36154
34,0.9356991,0.57445693,0.8609342,0.533638,64.25539
35,0.92326355,0.5677763,0.84447986,0.52632356,64.482864
36,0.9202305,0.56762826,0.8609342,0.53364545,64.24022
37,0.93114954,0.5726154,0.84713376,0.52763873,64.43737
38,0.9074917,0.56178296,0.8525174,0.529926,64.369125
39,0.9253867,0.57231385,0.8541098,0.5296729,64.49045
40,0.9132545,0.5660983,0.84372157,0.5258919,64.50561
41,0.93630576,0.57845277,0.84212923,0.52408004,64.72551
42,0.91780406,0.5670691,0.8525174,0.5299112,64.35396
43,0.9235669,0.57074296,0.84159845,0.52437454,64.6421
44,0.9265999,0.574618,0.83303005,0.5207323,64.74068
45,0.9153776,0.5686051,0.83371246,0.51983225,64.92265
46,0.92326355,0.5697448,0.8453139,0.52586734,64.581436
47,0.9123446,0.5673455,0.82741886,0.5170229,65.02123
48,0.93114954,0.5766837,0.8340916,0.5213203,64.70276
49,0.95025784,0.58525527,0.83484983,0.520914,64.793755
50,0.93175614,0.57983494,0.8241583,0.516517,64.91508
51,0.9390355,0.58085537,0.8212769,0.51382226,65.15772
52,0.9441917,0.58799356,0.82089776,0.5132651,65.24113
53,0.94115865,0.582075,0.8303761,0.5176427,65.05156
54,0.91355777,0.5712991,0.8400819,0.52350605,64.68759
55,0.9117379,0.56641793,0.809448,0.50808376,65.40794
56,0.93751895,0.5805941,0.8212769,0.5152943,64.93782
57,0.95875037,0.5932928,0.81619656,0.51154524,65.24113
58,0.93236274,0.575991,0.8108887,0.5082865,65.453445
59,0.91204125,0.56819737,0.79905975,0.50151473,65.85532
60,0.9144677,0.5673125,0.8056567,0.5054589,65.62026
61,0.9253867,0.5757294,0.8000455,0.5023857,65.779495
62,0.9190173,0.5726315,0.8124052,0.50778306,65.605095
63,0.944495,0.587218,0.80057627,0.50221384,65.80983
64,0.955414,0.58938104,0.80118287,0.5024345,65.85532
65,0.9302396,0.58358514,0.8135426,0.5085474,65.52168
66,0.92750984,0.57847434,0.8003488,0.50031453,66.06005
67,0.91780406,0.57419854,0.7837428,0.49279663,66.35578
68,0.9526843,0.59095377,0.78139216,0.49192202,66.35578
69,0.93266606,0.5817931,0.77274793,0.48700255,66.651505
70,0.9344859,0.5827115,0.77100396,0.48506603,66.84865
71,0.9420686,0.58866817,0.76380044,0.48206514,66.91689
72,0.93751895,0.5870923,0.7710798,0.4846945,66.90931
73,0.9238702,0.5820078,0.7633455,0.47962707,67.288445
74,0.94115865,0.5877122,0.7628905,0.47926113,67.26569
75,0.93236274,0.58492607,0.7541705,0.47633702,67.288445
76,0.93175614,0.58282363,0.7534122,0.4760197,67.28086
77,0.9463148,0.59280974,0.75947833,0.47958404,67.06855
78,0.9393388,0.58756477,0.7496967,0.47353545,67.49317
79,0.9278132,0.581781,0.7484835,0.47335365,67.440094
80,0.93812555,0.5854209,0.7430998,0.47014108,67.64483
81,0.9341826,0.58517486,0.7492417,0.4731615,67.49317
82,0.9208371,0.5793297,0.7493176,0.47287133,67.54626
83,0.94601154,0.59160477,0.7429481,0.4690908,67.811646
84,0.9384289,0.58443487,0.74962085,0.47289035,67.55383
85,0.9542008,0.5944819,0.7452229,0.47054467,67.675156
86,0.9372156,0.58612365,0.75,0.4733835,67.500755
87,0.93327266,0.58444387,0.74620867,0.47054654,67.72824
88,0.9463148,0.5960505,0.7422657,0.46771675,67.97088
89,0.9408553,0.5911825,0.7451471,0.46994346,67.76615
90,0.9399454,0.59052277,0.7346072,0.4649709,67.94055
91,0.9451016,0.5920837,0.7380194,0.4671466,67.82681
92,0.9596603,0.6000009,0.7360479,0.46501702,68.03912
93,0.95025784,0.5926872,0.7331665,0.462912,68.213524
94,0.9596603,0.60004866,0.73779196,0.4660764,67.9633
95,0.94115865,0.5906138,0.7357446,0.4639477,68.16803
96,0.93600243,0.58746797,0.7431756,0.46830133,67.90264
97,0.9717925,0.6051654,0.72861695,0.46036395,68.32727
98,0.940552,0.5914121,0.7399151,0.46746033,67.84956
99,0.9393388,0.58907545,0.7245981,0.45857143,68.40309
100,0.94237185,0.59283185,0.7327874,0.4627516,68.19078
101,0.9287231,0.58301556,0.7325599,0.46143296,68.38035
102,0.9457082,0.5904734,0.72156507,0.45620438,68.59266
103,0.94722474,0.59580564,0.72550803,0.45705214,68.66849
104,0.94176525,0.5900829,0.73475885,0.46219665,68.38035
105,0.92478013,0.58204645,0.72353655,0.45561713,68.759476
106,0.9244768,0.58262914,0.72361237,0.45647618,68.66849
107,0.95359415,0.5984597,0.722475,0.45625255,68.63815
108,0.9329694,0.58579445,0.72558385,0.45793718,68.547165
109,0.94237185,0.59503573,0.722475,0.4558635,68.683655
110,0.94783133,0.59580624,0.71496814,0.45268485,68.77464
111,0.94783133,0.5980283,0.725963,0.4572431,68.66849
112,0.9414619,0.5907674,0.7194419,0.45476192,68.683655
113,0.9426752,0.59190476,0.7070064,0.4455449,69.44192
114,0.96178347,0.60289115,0.70723385,0.4466012,69.2751
115,0.9447983,0.59404576,0.71383077,0.45022807,69.070366
116,0.95359415,0.5964923,0.7148165,0.45049226,69.10828
117,0.94813466,0.5932977,0.7205035,0.45267627,69.070366
118,0.96269333,0.6059178,0.71216255,0.44786087,69.35092
119,0.9538975,0.60121953,0.71663636,0.45038953,69.17652
120,0.95238096,0.5964769,0.7089779,0.44644383,69.39642
121,0.9387322,0.5899472,0.71094936,0.44666976,69.4495
122,0.95359415,0.6010385,0.71580225,0.44996864,69.21444
123,0.95025784,0.5986606,0.7048074,0.44307312,69.67698
