,validatation_mae,validation_mse,train_mae,train_mse,train_accuracy
355,0.9824082,0.6222268,0.5337428,0.31323153,80.28511
356,0.95662725,0.6077182,0.5347285,0.31292316,80.368515
357,0.95875037,0.610566,0.53586596,0.31376442,80.31544
358,0.97907186,0.6151784,0.53624505,0.3139657,80.30027
359,0.9584471,0.60701174,0.53563845,0.31396225,80.26236
360,0.9575372,0.60592335,0.53359115,0.31176305,80.482254
361,0.9532909,0.60506237,0.5363209,0.31372333,80.33819
362,0.955414,0.6065366,0.53586596,0.31325376,80.38368
363,0.9693661,0.61267483,0.5387474,0.3149474,80.27753
364,0.9611768,0.6086147,0.5343494,0.31292796,80.36093
365,0.955414,0.6051596,0.535411,0.31341648,80.33819
366,0.9490446,0.60352284,0.5395056,0.3155213,80.22445
367,0.96148014,0.6122579,0.5326812,0.31235108,80.368515
368,0.9754322,0.6216701,0.53647256,0.31342354,80.391266
369,0.95177436,0.60714096,0.53768575,0.31456342,80.27753
370,0.9496512,0.60396916,0.53624505,0.31313783,80.42159
371,0.9596603,0.6081939,0.53821653,0.3150159,80.23961
372,0.9669396,0.6135473,0.5324538,0.31204253,80.38368
373,0.97421896,0.61600536,0.5374583,0.3147613,80.23961
374,0.9654231,0.61161774,0.537155,0.31457224,80.26236
375,0.96239007,0.60889643,0.5398089,0.31607202,80.16379
376,0.94692147,0.60172653,0.53480434,0.31245488,80.45193
377,0.94874126,0.6024362,0.5401881,0.3152165,80.31544
378,0.955414,0.6082639,0.531468,0.31158194,80.42918
379,0.95298755,0.60652024,0.53586596,0.31427416,80.23961
380,0.95723385,0.6086062,0.5338945,0.31199253,80.482254
381,0.97725207,0.6205149,0.53503186,0.3133036,80.33819
382,0.95662725,0.60555947,0.53480434,0.31309107,80.34577
383,0.95784044,0.60646254,0.53336364,0.31153178,80.51259
384,0.97148925,0.6146052,0.53563845,0.3139511,80.26994
385,0.96178347,0.6124918,0.53419775,0.31296536,80.34577
386,0.96299666,0.60954684,0.53920233,0.31552473,80.216866
387,0.94783133,0.60200083,0.5380649,0.31461293,80.29269
388,0.9408553,0.595142,0.53563845,0.31397325,80.26994
389,0.9633,0.6122308,0.5338945,0.3127993,80.35335
390,0.9651198,0.6117595,0.542387,0.31699657,80.156204
391,0.97785866,0.61878633,0.53965724,0.31550276,80.23961
392,0.95662725,0.60381323,0.53586596,0.31364232,80.330605
393,0.9596603,0.61134243,0.54049134,0.3164035,80.14862
394,0.96299666,0.6098259,0.5432211,0.31798655,80.06521
395,0.940552,0.59841913,0.5444343,0.3186076,80.019714
396,0.96299666,0.6112352,0.53821653,0.31546354,80.17895
397,0.9599636,0.6058777,0.54413104,0.31803828,80.09554
398,0.95602065,0.608429,0.5366242,0.314334,80.26236
399,0.9599636,0.6091778,0.5386715,0.3143173,80.36093
