,validatation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,1.1413406,0.6718276,1.1422505,0.6710964,57.84046
1,1.1410373,0.671924,1.1416439,0.67049736,57.89354
2,1.1413406,0.6718276,1.140734,0.6697871,57.9542
3,1.092205,0.6479618,1.1283743,0.6642594,58.15135
4,0.9660297,0.5863665,1.0138004,0.60797405,60.820442
5,0.918714,0.5639208,0.95806795,0.58072865,62.109493
6,0.92569,0.567435,0.9294055,0.56688684,62.723686
7,0.9059751,0.55806077,0.91856235,0.5615774,62.973915
8,0.92478013,0.5664957,0.92402184,0.56412965,62.87534
9,0.90203214,0.55544996,0.9031696,0.55405164,63.322716
10,0.9090082,0.5590086,0.9048377,0.5555979,63.18623
11,0.92205036,0.5652155,0.9047619,0.5561469,63.087654
12,0.8956627,0.55322397,0.90059143,0.5534373,63.27722
13,0.89141643,0.550413,0.9024871,0.5549184,63.148315
14,0.8898999,0.5496354,0.89884746,0.552448,63.345467
15,0.8844404,0.5471342,0.88512284,0.5462016,63.59569
16,0.9032454,0.5560871,0.88883835,0.54749525,63.572945
17,0.89293295,0.5513816,0.9012739,0.5538015,63.262054
18,0.89171976,0.55055296,0.8950561,0.55052435,63.451622
19,0.8938429,0.5517739,0.8912648,0.54958063,63.406128
20,0.88595694,0.54916847,0.88739765,0.54645854,63.656353
21,0.9087049,0.55804,0.885502,0.54612654,63.618443
22,0.88595694,0.54931694,0.8754929,0.5407557,63.90658
23,0.9032454,0.5559851,0.8801941,0.54265714,63.87625
24,0.8983925,0.55728436,0.8829997,0.54422,63.78526
25,0.9074917,0.5595622,0.8883076,0.5478555,63.489536
26,0.8941462,0.55254924,0.88231725,0.544059,63.75493
27,0.8905065,0.552832,0.8748863,0.5407847,63.868668
28,0.89020324,0.55041194,0.87678194,0.5412173,63.914165
29,0.8962693,0.5523508,0.8679102,0.53811735,63.914165
30,0.8841371,0.5477635,0.8691993,0.5368848,64.171974
31,0.89141643,0.5534453,0.85706705,0.5318951,64.308464
32,0.9090082,0.5597493,0.86063087,0.5332023,64.30088
