validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.1571125,0.67767304,1.1821352,0.7018441,55.247192
1.156506,0.67746615,1.2037458,0.7052844,55.80831
1.1577191,0.679064,1.1392933,0.6706053,57.757053
1.1477101,0.67514855,1.1164695,0.6590746,58.31817
1.0282074,0.6155373,1.0542159,0.62857866,59.774036
0.9711859,0.5884005,0.98642707,0.59505534,61.373978
0.96208674,0.58433187,0.95291173,0.5788719,62.109493
0.9350925,0.57328534,0.95177436,0.5785476,62.086746
0.9272066,0.5661704,0.91985136,0.56322545,62.79193
0.9253867,0.56687903,0.9233394,0.5645086,62.776768
0.9287231,0.56736106,0.9164392,0.56092995,62.951168
0.95147103,0.57967734,0.91909313,0.5624443,62.860176
0.92750984,0.56730175,0.92053384,0.5638184,62.73127
0.92690325,0.567582,0.92766154,0.56696665,62.625114
0.94237185,0.5774145,0.9115863,0.5586366,63.04216
0.93327266,0.5704008,0.90491354,0.555308,63.21656
0.9402487,0.57314646,0.91841066,0.5626458,62.79193
0.93266606,0.5699415,0.918259,0.56176597,62.920837
0.914771,0.5613826,0.90832573,0.55741334,63.064907
0.9272066,0.5670274,0.89460117,0.55062425,63.383377
0.9390355,0.57227415,0.9012739,0.5540087,63.224144
0.91719747,0.5621084,0.8989233,0.55296344,63.262054
0.92750984,0.56774664,0.8974826,0.5519565,63.345467
0.92569,0.5675375,0.8927813,0.54982555,63.413708
0.92053384,0.5646151,0.9024871,0.5542425,63.239307
0.93054295,0.56867814,0.88967246,0.5480524,63.519867
0.92690325,0.5680996,0.88883835,0.5481208,63.481953
0.9229603,0.56517947,0.8918714,0.5494669,63.43646
0.9190173,0.56304014,0.88656354,0.5467597,63.56536
0.9265999,0.56769377,0.88307554,0.54558563,63.56536
0.9223536,0.5673528,0.89080983,0.54846776,63.519867
0.91689414,0.56242585,0.8827722,0.54524225,63.58811
0.9087049,0.5608803,0.88808006,0.5482561,63.413708
0.9193206,0.56344724,0.8891416,0.5482831,63.459206
0.929633,0.5693954,0.87609947,0.54098487,63.891415
0.91355777,0.5610569,0.8779193,0.54261625,63.73976
0.91082805,0.56201243,0.8735214,0.540382,63.861084
0.91750073,0.56256014,0.8787534,0.5437058,63.603275
0.9090082,0.55952513,0.8735214,0.5403703,63.84592
0.92750984,0.56829166,0.8755687,0.54141194,63.808006
0.9259933,0.567502,0.87822264,0.5427642,63.724598
0.9196239,0.56389904,0.8692751,0.5385035,63.914165
0.93812555,0.5716299,0.8673794,0.5389405,63.747345
0.92750984,0.5685735,0.8808007,0.5442519,63.633606
0.9408553,0.57512695,0.87374884,0.5410019,63.770092
0.92811644,0.5677597,0.87048835,0.5384177,63.997574
0.9272066,0.5691875,0.87738854,0.54248893,63.73976
0.929633,0.56994134,0.86677283,0.5373571,63.944496
0.9250834,0.5669613,0.85699123,0.5329177,64.12648
0.9032454,0.55811155,0.8564604,0.53185743,64.26296
0.9041553,0.5595553,0.85888684,0.53304875,64.194725
0.91841066,0.5662944,0.85138005,0.52943593,64.369125
0.9047619,0.55775064,0.850091,0.52879584,64.384285
0.9229603,0.5693187,0.85365486,0.53107864,64.24022
0.90172887,0.5567294,0.8594935,0.53347427,64.15681
0.9181074,0.5690078,0.848347,0.52863765,64.32362
0.9053685,0.5597763,0.85198665,0.5307348,64.20231
0.93539584,0.57227236,0.848802,0.52857095,64.369125
0.93175614,0.5713691,0.84993935,0.5294606,64.28571
0.91568094,0.5641116,0.84918106,0.52899426,64.31605
0.90567183,0.5595337,0.84159845,0.5254429,64.4677
0.91689414,0.5650581,0.84849864,0.5284044,64.346375
0.9202305,0.56724,0.85198665,0.53098255,64.15681
0.9087049,0.55976963,0.85342735,0.5300269,64.369125
0.92750984,0.57021534,0.84569305,0.526424,64.52836
0.91143465,0.563195,0.84576887,0.52749115,64.35396
