,validatation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,1.1122233,0.655657,1.2156506,0.71417946,55.17895
1,1.104034,0.6532534,1.1408098,0.6725188,57.54474
2,0.96239007,0.58256614,0.9942372,0.5995252,61.101
3,0.9099181,0.55691653,0.94692147,0.5763322,62.1929
4,0.9096148,0.557444,0.9287989,0.56729776,62.61753
5,0.9190173,0.56163615,0.927434,0.5671675,62.564453
6,0.9132545,0.55908406,0.9109039,0.55837905,63.049744
7,0.89778584,0.5507474,0.90286624,0.5551055,63.140736
8,0.90081894,0.55275923,0.8996057,0.5539715,63.12557
9,0.90233546,0.55365586,0.8993024,0.5537269,63.1559
10,0.92569,0.5650994,0.8891416,0.5489109,63.368214
11,0.89111316,0.5479797,0.8927055,0.5505857,63.307552
12,0.88808006,0.5491929,0.89225054,0.54997927,63.353046
13,0.8895966,0.5494098,0.8876251,0.5471661,63.550198
14,0.882014,0.5443564,0.87966335,0.54334265,63.709435
15,0.9132545,0.56080085,0.88527447,0.5463168,63.55778
16,0.9102214,0.560475,0.882014,0.5448977,63.59569
17,0.88595694,0.5444972,0.87936,0.5439384,63.603275
18,0.9102214,0.55787086,0.88595694,0.54738766,63.42129
19,0.9499545,0.57706755,0.88572943,0.5462544,63.572945
20,0.8856536,0.54722506,0.8729906,0.5403428,63.830753
21,0.8993024,0.5560664,0.8873218,0.5473432,63.5047
22,0.9111313,0.55948997,0.86396724,0.53572464,64.05065
23,0.8883834,0.549469,0.8787534,0.54305416,63.717014
24,0.89596605,0.55228573,0.86252654,0.535997,63.952076
25,0.91204125,0.55997306,0.8692751,0.53817046,63.967243
26,0.8974826,0.55406713,0.8637398,0.53573006,64.04307
27,0.8962693,0.5546271,0.84993935,0.528928,64.36154
28,0.8996057,0.5557628,0.85062176,0.52879673,64.4222
29,0.91689414,0.56847996,0.86275405,0.5346588,64.14922
30,0.8996057,0.55885535,0.85206246,0.5302623,64.26296
31,0.89596605,0.552878,0.8543373,0.53156894,64.171974
32,0.9181074,0.56476665,0.8497877,0.52883464,64.36154
33,0.91204125,0.56282854,0.85335153,0.53158057,64.14165
34,0.90658176,0.56149536,0.84266,0.52488893,64.58902
35,0.9199272,0.5681697,0.8459964,0.52735585,64.37671
36,0.90203214,0.5570225,0.8469063,0.5268269,64.49803
37,0.9193206,0.56275254,0.8510767,0.52985,64.25539
38,0.91628754,0.56446826,0.84781617,0.52806944,64.36154
39,0.8877768,0.54958415,0.84167427,0.5246233,64.55111
40,0.90263873,0.5600371,0.84205335,0.52580535,64.384285
41,0.9202305,0.5678955,0.81794053,0.5120084,65.22596
42,0.91659087,0.56499285,0.8275705,0.5167971,64.983315
43,0.9208371,0.5667865,0.8311344,0.5198588,64.717926
44,0.9241735,0.5684484,0.831741,0.5192592,64.831665
45,0.9117379,0.5667129,0.8263573,0.5155177,65.13497
46,0.92690325,0.5714141,0.8220352,0.5135852,65.19563
47,0.906885,0.56114644,0.81907797,0.5124394,65.22596
48,0.9138611,0.56850785,0.8249924,0.51517004,65.11222
49,0.90658176,0.561597,0.8264331,0.5162651,65.0364
50,0.9272066,0.56938404,0.8171065,0.51063865,65.3852
51,0.9420686,0.5848495,0.81756145,0.51128936,65.316956
52,0.92053384,0.5737908,0.81187445,0.5083766,65.46102
53,0.9229603,0.57148206,0.81399757,0.5082656,65.582344
54,0.92629665,0.57509744,0.8100546,0.5074965,65.49894
55,0.9265999,0.5695758,0.80702156,0.50458944,65.741585
56,0.9399454,0.57886547,0.8058841,0.50422907,65.75675
57,0.93175614,0.5797549,0.8069457,0.50459194,65.75675
58,0.9272066,0.5741592,0.79413104,0.4978325,66.09797
59,0.91355777,0.5708054,0.7995147,0.499551,66.11314
60,0.9235669,0.5778115,0.79928726,0.50064325,65.96906
61,0.9132545,0.5700891,0.794586,0.49675557,66.27995
