validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.1477101,0.66892576,1.27707,0.7410356,54.102215
1.139824,0.6657745,1.1358811,0.66983414,57.71914
1.0185016,0.60728484,1.0923567,0.6483987,58.742798
0.9963603,0.59907985,0.9984835,0.60327053,60.75978
0.9708826,0.5878955,0.9821808,0.59520864,61.169243
0.96724296,0.5819916,0.97550803,0.5914214,61.366394
0.9542008,0.57772255,0.9528359,0.58116937,61.78344
0.95935696,0.5796805,0.9570822,0.5824493,61.78344
0.9748256,0.58902436,0.94813466,0.57774,62.04125
0.9557173,0.57958055,0.9482105,0.57918787,61.851685
