validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.100091,0.6474599,1.3120261,0.7658114,52.388535
1.1046406,0.6522316,1.153852,0.67850685,57.332424
1.1037307,0.65109956,1.152563,0.6775211,57.415833
1.1052471,0.653682,1.150819,0.67595476,57.559902
1.0652108,0.62996536,1.1347437,0.6685974,57.86321
0.9648165,0.58145636,1.0252502,0.6147557,60.41098
0.9414619,0.5709439,0.9526084,0.57945603,62.048832
0.9138611,0.5574131,0.940552,0.57318044,62.367302
0.921747,0.5600911,0.9194723,0.5627273,62.87534
0.89717925,0.5482619,0.9164392,0.5615255,62.890507
0.9138611,0.5565542,0.9153776,0.5618982,62.776768
0.92902637,0.56322795,0.9199272,0.5636079,62.746437
0.8841371,0.545074,0.9153018,0.5613677,62.860176
0.90627843,0.55456334,0.9062026,0.557047,63.04216
0.8993024,0.54999965,0.90840155,0.55812496,62.973915
0.90354866,0.5526935,0.8962693,0.5522256,63.254475
0.88899,0.5457988,0.8998332,0.5543647,63.117985
0.8835305,0.5423954,0.89664847,0.5524276,63.24689
0.9047619,0.5541721,0.894677,0.5515136,63.292385
0.8898999,0.54457915,0.8967243,0.552329,63.269638
0.903852,0.5511175,0.89778584,0.5534387,63.163483
0.8983925,0.5511301,0.9068092,0.5575499,62.996662
0.9117379,0.55563116,0.879815,0.5446672,63.550198
0.88595694,0.5473779,0.86457384,0.53686726,63.944496
0.8938429,0.5475763,0.8743555,0.5417136,63.709435
0.8935396,0.54864645,0.8692751,0.53927565,63.830753
0.89596605,0.5469751,0.88087654,0.5457427,63.459206
0.892023,0.54599154,0.8779193,0.5437545,63.59569
0.8844404,0.54404587,0.8609342,0.53525543,63.98999
0.90172887,0.5567603,0.8681377,0.5392028,63.75493
0.89111316,0.54717994,0.8657871,0.5380171,63.838337
0.8962693,0.5486382,0.8638914,0.53735435,63.838337
0.88171065,0.5470543,0.8637398,0.53620005,63.98999
0.8847437,0.54763186,0.8657113,0.5384144,63.770092
0.87534124,0.54312557,0.8566121,0.5327269,64.12648
0.8777677,0.5402731,0.85062176,0.52985513,64.26296
0.899909,0.5529286,0.8459964,0.526931,64.4677
0.8789809,0.54192734,0.8604034,0.53449434,64.06582
0.89020324,0.55175877,0.85259324,0.5308829,64.194725
0.90840155,0.5593229,0.84053683,0.525295,64.44495
0.899909,0.5558458,0.8530482,0.5296813,64.407036
0.9096148,0.5591591,0.84485894,0.5270545,64.384285
0.90779495,0.55535716,0.8447073,0.5261222,64.50561
