,validation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,1.1234455,0.65820855,1.4366848,0.8632467,44.085533
1,1.1386108,0.66764724,1.1436912,0.6734989,57.559902
2,1.1234455,0.6587708,1.1513497,0.6778796,57.317257
3,1.1243554,0.66025805,1.1439188,0.6729497,57.650894
4,1.1234455,0.65820855,1.1510464,0.67609376,57.54474
5,1.128905,0.66252714,1.1438429,0.6724818,57.71914
6,1.1234455,0.65820855,1.1454352,0.6737445,57.620564
7,1.1237489,0.65871865,1.1458144,0.67343235,57.67364
8,1.1234455,0.65820855,1.144222,0.6729053,57.67364
9,1.1234455,0.65820843,1.1465726,0.67395765,57.63573
10,1.1243554,0.6595029,1.1441462,0.67262584,57.711555
11,1.1252654,0.65985066,1.1439946,0.6724262,57.734303
12,1.1249621,0.66028726,1.1455868,0.6737708,57.61298
13,1.1246588,0.65962857,1.1441462,0.67257786,57.71914
14,1.1240522,0.6586374,1.1448287,0.67317146,57.66606
15,1.1213224,0.65729856,1.1447529,0.6729515,57.696392
16,1.0727935,0.6322942,1.1282984,0.66513735,58.030025
17,1.0306339,0.61417735,1.0752199,0.6385907,59.35699
18,1.0094025,0.6037308,1.0216105,0.61269176,60.517136
19,0.9441917,0.57071394,0.9913558,0.5982862,61.15408
20,0.940552,0.5689829,0.9598119,0.5827465,61.89718
21,0.9414619,0.57119495,0.9365332,0.5724244,62.26873
22,0.9099181,0.55460846,0.9350925,0.5713244,62.359722
23,0.9138611,0.5565834,0.9193964,0.5634729,62.746437
24,0.9253867,0.56263316,0.9166667,0.56313574,62.663025
25,0.899909,0.55047196,0.9200789,0.5638858,62.723686
26,0.91143465,0.55433446,0.912572,0.560532,62.84501
27,0.91143465,0.5564945,0.9053685,0.55789703,62.87534
28,0.91355777,0.5577577,0.90203214,0.55522954,63.117985
29,0.9041553,0.55146414,0.90294206,0.5559847,63.026993
30,0.903852,0.55191463,0.8974826,0.5531838,63.193813
31,0.8847437,0.54243857,0.903852,0.55643207,63.004246
32,0.90627843,0.5544744,0.909539,0.5590418,62.89809
33,0.90233546,0.55165464,0.8980892,0.5534469,63.171066
34,0.89596605,0.5511295,0.8993024,0.55371666,63.193813
35,0.89232635,0.5493533,0.8877768,0.54870456,63.36063
36,0.8895966,0.5469202,0.89080983,0.54975206,63.345467
37,0.9041553,0.55309093,0.8948286,0.5517433,63.254475
38,0.8826206,0.53996134,0.892478,0.5506946,63.27722
39,0.89596605,0.55346584,0.9018047,0.55461764,63.171066
40,0.89171976,0.5465287,0.8944495,0.5521813,63.1559
41,0.90506524,0.5542221,0.8941462,0.55172276,63.21656
42,0.9123446,0.5606133,0.8864119,0.54788685,63.39096
43,0.8962693,0.5509129,0.8770852,0.54433066,63.451622
44,0.8944495,0.5475145,0.87951165,0.5454368,63.428875
45,0.89717925,0.54851115,0.8834547,0.546816,63.413708
46,0.89657265,0.55015343,0.8772369,0.54296994,63.679104
47,0.8989991,0.55314195,0.8730664,0.5417915,63.64119
48,0.9059751,0.5533576,0.86897177,0.53989756,63.709435
49,0.9111313,0.5595936,0.8818623,0.54603356,63.459206
50,0.90233546,0.55273587,0.8670003,0.5384884,63.808006
51,0.89171976,0.54744637,0.8685927,0.53932273,63.800423
52,0.88717014,0.5450427,0.868441,0.5389637,63.830753
53,0.89657265,0.5490441,0.8607825,0.5353701,63.982407
54,0.9041553,0.5522182,0.86631787,0.53772044,63.914165
55,0.88717014,0.54452395,0.86176825,0.5358,63.967243
56,0.9190173,0.5606433,0.8653321,0.5381326,63.800423
57,0.8989991,0.5522832,0.86768275,0.53763974,63.98999
58,0.9011222,0.5533837,0.86343646,0.5366663,63.914165
59,0.8941462,0.5482003,0.86275405,0.536491,63.891415
60,0.87807095,0.54162276,0.85714287,0.53364307,64.035484
61,0.8938429,0.547645,0.8517592,0.5313686,64.11131
62,0.8835305,0.54425734,0.85623294,0.5326071,64.15681
63,0.88899,0.5455454,0.8544131,0.5322408,64.11131
64,0.8980892,0.55270326,0.8510009,0.5297432,64.308464
65,0.90658176,0.55771977,0.85342735,0.53149956,64.171974
66,0.89717925,0.5525637,0.85077345,0.53012514,64.26296
67,0.90263873,0.5512485,0.84212923,0.52641493,64.369125
68,0.91719747,0.56250834,0.851835,0.5304689,64.25539
69,0.8980892,0.54848933,0.86836517,0.53941214,63.73218
70,0.91355777,0.5607472,0.8637398,0.5362493,63.982407
71,0.896876,0.55246896,0.8555505,0.53202844,64.171974
72,0.8989991,0.5566464,0.8447073,0.52711815,64.369125
73,0.91355777,0.55962044,0.84652716,0.5284086,64.28571
74,0.8983925,0.55248994,0.86882013,0.53844017,63.90658
75,0.90779495,0.5592143,0.8486503,0.53067493,64.035484
76,0.90142554,0.5538091,0.8541098,0.53209263,64.08856
77,0.88595694,0.54623973,0.8350015,0.5217772,64.64968
78,0.89141643,0.552612,0.8290871,0.51819295,64.90749
79,0.89717925,0.5542795,0.83575976,0.52221316,64.66485
80,0.87958753,0.5436408,0.83447075,0.5204805,64.831665
81,0.8895966,0.5483237,0.8337883,0.5214836,64.64968
82,0.89293295,0.55382115,0.8333333,0.52089256,64.73309
83,0.89717925,0.55213237,0.84501064,0.52706283,64.39187
84,0.91689414,0.56250083,0.8361389,0.52270263,64.56627
85,0.9138611,0.5635182,0.8219594,0.5150593,65.006065
86,0.90779495,0.56038237,0.8212011,0.5136428,65.1653
87,0.90658176,0.5579838,0.8246133,0.51650405,64.92265
88,0.92569,0.5663682,0.8275705,0.51803696,64.82408
89,0.9011222,0.55379707,0.8206703,0.51369673,65.119804
90,0.892023,0.5501438,0.81187445,0.50955373,65.294205
91,0.88747346,0.54838854,0.82082194,0.5146253,64.9909
92,0.899909,0.55357754,0.81399757,0.50979096,65.36245
93,0.8953594,0.5519711,0.8086139,0.5072186,65.46102
94,0.90779495,0.55704266,0.8078556,0.5078545,65.33212
95,0.8993024,0.5554102,0.8091447,0.5069685,65.55202
96,0.91841066,0.56650007,0.80451924,0.5058428,65.44586
97,0.9059751,0.560189,0.80057627,0.5031305,65.68851
98,0.92053384,0.568164,0.8092205,0.5068999,65.53685
99,0.914771,0.5619301,0.7988323,0.5025514,65.66576
100,0.9159842,0.56367517,0.8189263,0.5116213,65.30179
101,0.9111313,0.5576849,0.8089172,0.50582045,65.68851
102,0.91750073,0.56329805,0.8103579,0.5068907,65.605095
103,0.8944495,0.5549962,0.80558085,0.5054179,65.5596
104,0.9074917,0.5601219,0.7894298,0.49580485,66.18896
105,0.896876,0.5533555,0.7860934,0.49466646,66.1738
106,0.9074917,0.5629624,0.7872308,0.49399996,66.32545
107,0.9202305,0.5674771,0.776236,0.48986953,66.37094
108,0.9132545,0.5662403,0.78010315,0.49254483,66.1738
109,0.9090082,0.5623048,0.77722174,0.489509,66.48468
110,0.9265999,0.57390475,0.7766151,0.48961285,66.42402
111,0.92053384,0.57082534,0.7728996,0.4873243,66.575676
112,0.9102214,0.56541145,0.7719897,0.4864593,66.65908
113,0.91264784,0.56491125,0.76152563,0.48168412,66.85623
114,0.90718836,0.56286985,0.76835,0.48394406,66.84865
115,0.9244768,0.5741061,0.76508945,0.4824637,66.886566
116,0.9132545,0.56433254,0.7606915,0.48096502,66.89415
117,0.9229603,0.5727956,0.75955415,0.48002705,66.96997
118,0.92326355,0.572034,0.75818926,0.47846293,67.12163
119,0.9090082,0.56454027,0.76304215,0.4813294,66.939644
120,0.8932363,0.55629605,0.7622839,0.4811229,66.91689
121,0.90233546,0.5610038,0.7551562,0.4756999,67.37943
122,0.92205036,0.5717245,0.7550045,0.47573352,67.36427
123,0.91416436,0.5688355,0.75583863,0.477588,67.12921
124,0.8989991,0.5593366,0.74696696,0.47237468,67.462845
125,0.903852,0.5616323,0.7568244,0.47842225,67.038216
126,0.92750984,0.57401305,0.7548529,0.47682747,67.20503
127,0.91264784,0.56727564,0.7477252,0.4733652,67.37186
128,0.92205036,0.5732464,0.7402184,0.4678685,67.78132
129,0.90627843,0.56475276,0.7542463,0.4752976,67.37943
130,0.9159842,0.5674166,0.7519715,0.475878,67.174706
131,0.9150743,0.56785405,0.75326055,0.4743811,67.485596
132,0.90354866,0.56103307,0.74871093,0.47231373,67.56142
133,0.91659087,0.56632257,0.74446464,0.47067487,67.58417
134,0.91355777,0.5668731,0.7427965,0.4687995,67.7889
135,0.92144376,0.5732746,0.73847437,0.46561724,68.03912
136,0.9308462,0.57826805,0.74105245,0.46866426,67.69791
137,0.906885,0.5678748,0.746512,0.46995226,67.773735
138,0.91143465,0.56985027,0.7449955,0.4692566,67.79648
139,0.9132545,0.56735176,0.74272066,0.46758568,67.93297
140,0.90718836,0.5653961,0.73619956,0.46338812,68.22869
